GenomeID,contig,operon,cluster,Nitrogenase Set,Location_start,Location_end,Orientation,pos_num,GTDB Taxonomy,ncbi_country,Isolation Source,NCBI Taxonomy,ncbi_taxonomy_unfiltered,Organism,Regulon,Operon,Group No
GB_GCA_000306725.1,CP003083.1,11,nif,B,2514254,2515192,1,[2458],d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus,none,none,d__Archaea;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus,d__Archaea;x__Methanobacteriati;p__Methanobacteriota;x__Stenosarchaea group;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus;x__Methanolobus psychrophilus R15,Methanolobus psychrophilus,,,
GB_GCA_000307955.1,ALAO01000189.1,1,vnf,"K, G, D",19548,23015,-1,"[10, 11, 12]",d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Solidesulfovibrio;s__Solidesulfovibrio magneticus_A,Australia,sub-cultured for isolation from anaerobic microbial enrichment culture derived from a coal seam gas formation water sample,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Solidesulfovibrio;s__Solidesulfovibrio magneticus,d__Bacteria;x__Pseudomonadati;p__Thermodesulfobacteriota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Solidesulfovibrio;s__Solidesulfovibrio magneticus;x__Solidesulfovibrio magneticus str. Maddingley MBC34,Solidesulfovibrio magneticus_A,,,
GB_GCA_000309865.1,AMGN01000034.1,1,nif,B,5371,6300,-1,[7],d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000309865,Australia,sub-cultured for isolation from anaerobic microbial enrichment culture derived from a coal seam gas formation water sample,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__,d__Archaea;x__Methanobacteriati;p__Methanobacteriota;x__Methanomada group;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;x__unclassified Methanobacterium;s__Methanobacterium sp. Maddingley MBC34,Methanobacterium sp000309865,,,
GB_GCA_000309865.1,AMGN01000049.1,1,nif,"H, K, E, K, D",3927,11751,-1,"[12, 6, 7, 8, 9]",d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000309865,Australia,sub-cultured for isolation from anaerobic microbial enrichment culture derived from a coal seam gas formation water sample,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__,d__Archaea;x__Methanobacteriati;p__Methanobacteriota;x__Methanomada group;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;x__unclassified Methanobacterium;s__Methanobacterium sp. Maddingley MBC34,Methanobacterium sp000309865,,,
GB_GCA_000309865.1,AMGN01000056.1,1,nif,B,37999,38850,1,[39],d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000309865,Australia,sub-cultured for isolation from anaerobic microbial enrichment culture derived from a coal seam gas formation water sample,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__,d__Archaea;x__Methanobacteriati;p__Methanobacteriota;x__Methanomada group;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;x__unclassified Methanobacterium;s__Methanobacterium sp. Maddingley MBC34,Methanobacterium sp000309865,,,
GB_GCA_000309945.1,CM001633.1,5,nif,"B, H, D, K, E, N",5418792,5430471,1,"[4867, 4871, 4872, 4873, 4875, 4876]",d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Leptolyngbyales;f__Leptolyngbyaceae;g__JSC-12;s__JSC-12 sp000309945,none,none,d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Leptolyngbyales;f__Leptolyngbyaceae;g__;s__,d__Bacteria;x__Bacillati;x__Cyanobacteriota/Melainabacteria group;p__Cyanobacteriota;c__Cyanophyceae;o__Leptolyngbyales;f__Leptolyngbyaceae;x__unclassified Leptolyngbyaceae;s__Leptolyngbyaceae cyanobacterium JSC-12,JSC-12 sp000309945,,,
GB_GCA_000316115.1,JH993797.1,4,nif,"B, H, D, K, EN",1155869,1168078,1,"[1063, 1067, 1068, 1069, 1072]",d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Phormidesmidales;f__Phormidesmidaceae;g__Leptothoe;s__Leptothoe sp000316115,USA: Woods Hole region; Massachusetts,plankton,d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Leptolyngbyales;f__Leptolyngbyaceae;g__Leptolyngbya;s__,d__Bacteria;x__Bacillati;x__Cyanobacteriota/Melainabacteria group;p__Cyanobacteriota;c__Cyanophyceae;o__Leptolyngbyales;f__Leptolyngbyaceae;x__Leptolyngbya group;g__Leptolyngbya;x__unclassified Leptolyngbya;s__Leptolyngbya sp. PCC 7375,Leptothoe sp000316115,,,
GB_GCA_000317245.1,AJLJ01000270.1,1,nif,"H, D, K, E, N, B",8051,20238,1,"[13, 14, 15, 17, 18, 9]",d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Pelatocladus;s__Pelatocladus muscicola_A,none,none,d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Nostocales;f__Hapalosiphonaceae;g__Fischerella;s__Fischerella muscicola,d__Bacteria;x__Bacillati;x__Cyanobacteriota/Melainabacteria group;p__Cyanobacteriota;c__Cyanophyceae;o__Nostocales;f__Hapalosiphonaceae;g__Fischerella;s__Fischerella muscicola;x__Fischerella muscicola SAG 1427-1 = PCC 73103,Pelatocladus muscicola_A,,,
GB_GCA_000332255.1,KB235926.1,1,vnf,"N, E, K, GG",3586072,3591257,-1,"[3147, 3148, 3149, 3150]",d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Chlorogloeopsis;s__Chlorogloeopsis sp000332255,none,none,d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Nostocales;f__Stigonemataceae;g__;s__,d__Bacteria;x__Bacillati;x__Cyanobacteriota/Melainabacteria group;p__Cyanobacteriota;c__Cyanophyceae;o__Nostocales;f__Stigonemataceae;x__unclassified Stigonemataceae;s__cyanobacterium PCC 7702,Chlorogloeopsis sp000332255,,,
GB_GCA_000332255.1,KB235926.1,2,nif,"N, E, K, D, H, B",1498248,1510614,-1,"[1283, 1284, 1286, 1287, 1288, 1292]",d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Chlorogloeopsis;s__Chlorogloeopsis sp000332255,none,none,d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Nostocales;f__Stigonemataceae;g__;s__,d__Bacteria;x__Bacillati;x__Cyanobacteriota/Melainabacteria group;p__Cyanobacteriota;c__Cyanophyceae;o__Nostocales;f__Stigonemataceae;x__unclassified Stigonemataceae;s__cyanobacterium PCC 7702,Chlorogloeopsis sp000332255,,,
GB_GCA_000380225.1,KB904821.1,1,nif,"N, E, K, D, H, B",2676756,2689324,-1,"[2321, 2322, 2325, 2326, 2327, 2332]",d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Spirulinaceae;g__Jaaginema;s__Jaaginema sp000380225,none,none,d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Oscillatoriales;f__;g__;s__,d__Bacteria;x__Bacillati;x__Cyanobacteriota/Melainabacteria group;p__Cyanobacteriota;c__Cyanophyceae;x__Oscillatoriophycideae;o__Oscillatoriales;x__unclassified Oscillatoriales;s__filamentous cyanobacterium ESFC-1,Jaaginema sp000380225,,,
GB_GCA_000421045.1,ATWC01000001.1,1,nif,"H, B, K, D",85045,90061,-1,"[73, 74, 76, 77]",d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__NK4A136;s__NK4A136 sp000421045,none,none,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__,d__Bacteria;x__Bacillati;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;x__unclassified Lachnospiraceae;s__Lachnospiraceae bacterium NK4A179,NK4A136 sp000421045,,,
GB_GCA_000447295.1,KE650771.1,2,nif,"N, E, K, D, H, B",4796807,4818191,-1,"[4029, 4030, 4032, 4041, 4042, 4046]",d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Pelatocladus;s__Pelatocladus sp000447295,none,none,d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Nostocales;f__Hapalosiphonaceae;g__Fischerella;s__,d__Bacteria;x__Bacillati;x__Cyanobacteriota/Melainabacteria group;p__Cyanobacteriota;c__Cyanophyceae;o__Nostocales;f__Hapalosiphonaceae;g__Fischerella;x__unclassified Fischerella;s__Fischerella sp. PCC 9431,Pelatocladus sp000447295,,,
GB_GCA_000499765.1,HG425166.1,2,nif,B,1267277,1268128,-1,[1262],d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000499765,none,none,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__,d__Archaea;x__Methanobacteriati;p__Methanobacteriota;x__Methanomada group;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;x__unclassified Methanobacterium;s__Methanobacterium sp. MB1,Methanobacterium sp000499765,,,
GB_GCA_000499765.1,HG425166.1,6,nif,"N, E, K, D, H",127509,135078,-1,"[123, 124, 125, 126, 129]",d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000499765,none,none,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__,d__Archaea;x__Methanobacteriati;p__Methanobacteriota;x__Methanomada group;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;x__unclassified Methanobacterium;s__Methanobacterium sp. MB1,Methanobacterium sp000499765,,,
GB_GCA_000502395.1,AYWS01000018.1,1,nif,"H, D, K, E, N",40946,48053,1,"[29, 30, 31, 32, 33]",d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Mesorhizobium;s__Mesorhizobium sp000502395,none,none,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Phyllobacteriaceae;g__Mesorhizobium;s__,d__Bacteria;x__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Phyllobacteriaceae;g__Mesorhizobium;x__unclassified Mesorhizobium;s__Mesorhizobium sp. LNHC220B00,Mesorhizobium sp000502395,,,
GB_GCA_000502395.1,AYWS01000019.1,1,nif,B,12767,14242,1,[13],d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Mesorhizobium;s__Mesorhizobium sp000502395,none,none,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Phyllobacteriaceae;g__Mesorhizobium;s__,d__Bacteria;x__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Phyllobacteriaceae;g__Mesorhizobium;x__unclassified Mesorhizobium;s__Mesorhizobium sp. LNHC220B00,Mesorhizobium sp000502395,,,
GB_GCA_000504425.1,KI632513.1,2,nif,"N, E, K, D, H, B",2460863,2474461,-1,"[2269, 2270, 2271, 2272, 2273, 2282]",d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Rhodopseudomonas;s__Rhodopseudomonas palustris_C,China,water,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Rhodopseudomonas;s__Rhodopseudomonas palustris,d__Bacteria;x__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Rhodopseudomonas;s__Rhodopseudomonas palustris;x__Rhodopseudomonas palustris JSC-3b,Rhodopseudomonas palustris_C,,,
GB_GCA_000517005.1,KI911947.1,1,nif,"N, E, K, D, H",157649,164762,-1,"[173, 174, 175, 176, 177]",d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Microvirga;s__Microvirga lupini,none,none,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Methylobacteriaceae;g__Microvirga;s__Microvirga lupini,d__Bacteria;x__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Methylobacteriaceae;g__Microvirga;s__Microvirga lupini,Microvirga lupini,,,
GB_GCA_000517005.1,KI911947.1,2,nif,B,195179,196660,-1,[217],d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Microvirga;s__Microvirga lupini,none,none,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Methylobacteriaceae;g__Microvirga;s__Microvirga lupini,d__Bacteria;x__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Methylobacteriaceae;g__Microvirga;s__Microvirga lupini,Microvirga lupini,,,
GB_GCA_000526255.1,JAFS01000001.1,1,nif,"B, N, E, K, D, H",972181,987827,-1,"[939, 949, 950, 951, 952, 953]",d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Methylacidiphilales;f__Methylacidiphilaceae;g__Methylacidimicrobium;s__Methylacidimicrobium sp000526255,none,none,d__Bacteria;p__Verrucomicrobiota;c__;o__;f__;g__;s__,d__Bacteria;x__Pseudomonadati;x__PVC group;p__Verrucomicrobiota;x__unclassified Verrucomicrobiota;s__Verrucomicrobia bacterium LP2A,Methylacidimicrobium sp000526255,,,
GB_GCA_000681355.2,JJNX02000025.1,1,nif,"H, D, K, E, N, B",1590,9576,1,"[4, 7, 8, 9, 10, 11]",d__Bacteria;p__Bacillota;c__Desulfotomaculia;o__Desulfotomaculales;f__Nap2-2B;g__SCADC1-2-3;s__SCADC1-2-3 sp000681355,Canada: Northern Alberta,3 cells amplified by MDA; sorted single cells from oil sands tailings pond,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Peptococcaceae;g__;s__,d__Bacteria;x__Bacillati;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Peptococcaceae;x__unclassified Peptococcaceae;s__Peptococcaceae bacterium SCADC1_2_3,SCADC1-2-3 sp000681355,,,
GB_GCA_000681355.2,JJNX02000079.1,1,nif,B,7077,8066,-1,[13],d__Bacteria;p__Bacillota;c__Desulfotomaculia;o__Desulfotomaculales;f__Nap2-2B;g__SCADC1-2-3;s__SCADC1-2-3 sp000681355,Canada: Northern Alberta,3 cells amplified by MDA; sorted single cells from oil sands tailings pond,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Peptococcaceae;g__;s__,d__Bacteria;x__Bacillati;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Peptococcaceae;x__unclassified Peptococcaceae;s__Peptococcaceae bacterium SCADC1_2_3,SCADC1-2-3 sp000681355,,,
GB_GCA_000685825.1,JMKQ01000006.1,1,nif,"N, E, K, D, H, B",1960061,1976342,-1,"[1879, 1880, 1881, 1882, 1883, 1898]",d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylosinus;s__Methylosinus sp000685825,none,none,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Methylocystaceae;g__Methylocystis;s__,d__Bacteria;x__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Methylocystaceae;g__Methylocystis;x__unclassified Methylocystis;s__Methylocystis sp. LW5,Methylosinus sp000685825,,,
GB_GCA_000701625.1,JNJK01000002.1,1,nif,"B, D, K, H",287310,297576,1,"[258, 265, 266, 267]",d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__NK4A144;s__NK4A144 sp000701625,none,none,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__,d__Bacteria;x__Bacillati;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;x__unclassified Lachnospiraceae;s__Lachnospiraceae bacterium MC2017,NK4A144 sp000701625,,,
