GenomeID,Gene,Hit,E-value,Bit Score,Bias,Domain Start,Domain End,Location,Orientation,Flag_Bias,contig,pos_num,operon,top_hit,GTDB
GB_GCA_000145985.1,nifB,CP002098.1_844_A,0.00016,17.0,0.0,4,127,794164-794562,1,0,CP002098.1,844,2,nifB,d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Ignisphaeraceae;g__Ignisphaera;s__Ignisphaera aggregans
GB_GCA_000306725.1,nifD,CP003083.1_1275_A,1.2e-219,727.1,4.0,0,525,1333636-1335213,1,0,CP003083.1,1275,9,nifD,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus
GB_GCA_000306725.1,nifE,CP003083.1_1275_A,1e-126,421.4,0.6,13,411,1333636-1335213,1,0,CP003083.1,1275,9,nifD,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus
GB_GCA_000306725.1,nifK,CP003083.1_1275_A,8.8e-18,61.6,0.5,5,407,1333636-1335213,1,0,CP003083.1,1275,9,nifD,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus
GB_GCA_000306725.1,nifN,CP003083.1_1275_A,3.3e-30,102.3,0.0,51,506,1333636-1335213,1,0,CP003083.1,1275,9,nifD,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus
GB_GCA_000306725.1,nifK,CP003083.1_1276_A,1.3e-184,611.7,0.0,1,456,1335227-1336597,1,0,CP003083.1,1276,9,nifK,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus
GB_GCA_000306725.1,nifN,CP003083.1_1276_A,4.8e-121,401.8,0.0,4,454,1335227-1336597,1,0,CP003083.1,1276,9,nifK,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus
GB_GCA_000306725.1,nifE,CP003083.1_1276_A,6.4e-24,81.8,0.0,17,442,1335227-1336597,1,0,CP003083.1,1276,9,nifK,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus
GB_GCA_000306725.1,nifD,CP003083.1_1276_A,8e-13,45.0,0.0,20,441,1335227-1336597,1,0,CP003083.1,1276,9,nifK,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus
GB_GCA_000306725.1,nifE,CP003083.1_1277_A,1.7e-205,681.7,0.8,0,499,1336629-1338131,1,0,CP003083.1,1277,9,nifE,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus
GB_GCA_000306725.1,nifD,CP003083.1_1277_A,2.4e-141,468.9,0.1,4,464,1336629-1338131,1,0,CP003083.1,1277,9,nifE,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus
GB_GCA_000306725.1,nifN,CP003083.1_1277_A,6e-42,141.0,0.1,31,479,1336629-1338131,1,0,CP003083.1,1277,9,nifE,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus
GB_GCA_000306725.1,nifK,CP003083.1_1277_A,5.8e-33,111.6,1.1,19,443,1336629-1338131,1,0,CP003083.1,1277,9,nifE,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus
GB_GCA_000306725.1,nifN,CP003083.1_1278_A,2.7e-142,471.9,0.0,0,470,1338128-1339546,1,0,CP003083.1,1278,9,nifK,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus
GB_GCA_000306725.1,nifK,CP003083.1_1278_A,2.3e-144,479.0,0.0,0,458,1338128-1339546,1,0,CP003083.1,1278,9,nifK,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus
GB_GCA_000306725.1,nifD,CP003083.1_1278_A,2.8e-10,36.6,0.1,7,195,1338128-1339546,1,0,CP003083.1,1278,9,nifK,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus
GB_GCA_000306725.1,nifE,CP003083.1_1278_C,3.2e-05,20.1,0.0,334,455,1338128-1339546,1,0,CP003083.1,1278,9,nifE,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus
GB_GCA_000306725.1,nifE,CP003083.1_1278_A,3.2e-16,56.4,0.0,7,189,1338128-1339546,1,0,CP003083.1,1278,9,nifK,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus
GB_GCA_000306725.1,nifE,CP003083.1_1278_B,0.00029,16.9,0.0,217,410,1338128-1339546,1,0,CP003083.1,1278,9,nifE,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus
GB_GCA_000306725.1,nifB,CP003083.1_2151_A,4.8e-05,19.4,0.1,11,135,2199773-2200525,1,0,CP003083.1,2151,6,nifB,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus
GB_GCA_000306725.1,nifB,CP003083.1_2196_A,3.8e-07,26.3,0.7,11,232,2251703-2252638,1,0,CP003083.1,2196,7,nifB,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus
GB_GCA_000306725.1,nifB,CP003083.1_2458_A,1.4e-111,370.6,3.8,2,302,2514254-2515192,1,0,CP003083.1,2458,8,nifB,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus psychrophilus
GB_GCA_000309865.1,nifB,AMGN01000027.1_8_A,3.4e-10,36.0,0.0,6,113,8042-8392,1,0,AMGN01000027.1,8,1,nifB,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000309865
GB_GCA_000309865.1,nifB,AMGN01000027.1_9_A,3.9e-12,42.4,0.0,0,109,8474-8803,1,0,AMGN01000027.1,9,1,nifB,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000309865
GB_GCA_000309865.1,nifB,AMGN01000034.1_7_A,3.5e-08,29.4,0.7,5,228,5371-6300,-1,0,AMGN01000034.1,7,1,nifB,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000309865
GB_GCA_000309865.1,nifB,AMGN01000049.1_4_A,1e-12,44.3,0.0,0,116,3231-3605,-1,0,AMGN01000049.1,4,1,nifB,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000309865
GB_GCA_000309865.1,nifD,AMGN01000049.1_6_A,2e-12,43.3,0.0,3,228,3927-5357,-1,0,AMGN01000049.1,6,1,nifK,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000309865
GB_GCA_000309865.1,nifE,AMGN01000049.1_6_A,2.8e-32,109.1,0.0,8,466,3927-5357,-1,0,AMGN01000049.1,6,1,nifK,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000309865
GB_GCA_000309865.1,nifN,AMGN01000049.1_6_A,4.1e-150,497.3,0.0,14,474,3927-5357,-1,0,AMGN01000049.1,6,1,nifK,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000309865
GB_GCA_000309865.1,nifK,AMGN01000049.1_6_A,6e-155,513.6,0.0,3,472,3927-5357,-1,0,AMGN01000049.1,6,1,nifK,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000309865
GB_GCA_000309865.1,nifK,AMGN01000049.1_7_A,5.2e-25,85.1,0.0,51,499,5358-7046,-1,0,AMGN01000049.1,7,1,nifE,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000309865
GB_GCA_000309865.1,nifE,AMGN01000049.1_7_A,3.2e-208,690.3,0.0,29,559,5358-7046,-1,0,AMGN01000049.1,7,1,nifE,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000309865
GB_GCA_000309865.1,nifD,AMGN01000049.1_7_A,8.7e-152,503.0,0.2,28,518,5358-7046,-1,0,AMGN01000049.1,7,1,nifE,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000309865
GB_GCA_000309865.1,nifN,AMGN01000049.1_7_A,2.3e-37,125.6,0.0,67,531,5358-7046,-1,0,AMGN01000049.1,7,1,nifE,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000309865
GB_GCA_000309865.1,nifE,AMGN01000049.1_8_C,2.1e-05,20.4,0.0,357,460,7138-8526,-1,0,AMGN01000049.1,8,1,nifE,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000309865
GB_GCA_000309865.1,nifD,AMGN01000049.1_8_A,1.9e-10,36.8,0.1,17,207,7138-8526,-1,0,AMGN01000049.1,8,1,nifK,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000309865
GB_GCA_000309865.1,nifK,AMGN01000049.1_8_A,7.3e-168,556.2,0.0,1,462,7138-8526,-1,0,AMGN01000049.1,8,1,nifK,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000309865
GB_GCA_000309865.1,nifN,AMGN01000049.1_8_A,3.5e-127,421.7,0.0,0,462,7138-8526,-1,0,AMGN01000049.1,8,1,nifK,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000309865
GB_GCA_000309865.1,nifE,AMGN01000049.1_8_A,1.6e-17,60.4,0.2,17,209,7138-8526,-1,0,AMGN01000049.1,8,1,nifK,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000309865
GB_GCA_000309865.1,nifE,AMGN01000049.1_9_A,1.6e-135,450.1,0.0,4,498,8526-10028,-1,0,AMGN01000049.1,9,1,nifD,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000309865
GB_GCA_000309865.1,nifD,AMGN01000049.1_9_A,2.3e-192,636.8,0.0,3,478,8526-10028,-1,0,AMGN01000049.1,9,1,nifD,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000309865
GB_GCA_000309865.1,nifN,AMGN01000049.1_9_B,4.8e-22,75.1,0.0,100,464,8526-10028,-1,0,AMGN01000049.1,9,1,nifN,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000309865
GB_GCA_000309865.1,nifK,AMGN01000049.1_9_A,4.4e-12,42.4,0.0,102,251,8526-10028,-1,0,AMGN01000049.1,9,1,nifD,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000309865
GB_GCA_000309865.1,nifH,AMGN01000049.1_12_A,4.1e-132,437.2,6.7,0,275,10924-11751,-1,0,AMGN01000049.1,12,1,nifH,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000309865
GB_GCA_000309865.1,nifB,AMGN01000056.1_39_A,2.4e-128,425.7,4.7,0,283,37999-38850,1,0,AMGN01000056.1,39,1,nifB,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000309865
GB_GCA_000336955.1,nifB,AOLI01000019.1_705_A,5.3e-08,29.4,0.0,2,151,668719-669681,-1,0,AOLI01000019.1,705,1,nifB,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Haloferax;s__Haloferax larsenii
GB_GCA_000337115.1,nifB,AOIR01000059.1_214_A,3.5e-07,26.8,0.0,1,151,206058-207074,1,0,AOIR01000059.1,214,1,nifB,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Natrialbaceae;g__Natrinema;s__Natrinema thermotolerans
GB_GCA_000350305.1,nifB,CP002916.1_402_A,6.2e-74,245.6,0.0,0,210,363026-364060,-1,0,CP002916.1,402,1,nifB,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__Methanomethylophilus sp000350305
GB_GCA_000350305.1,nifB,CP002916.1_402_B,1.7e-08,29.7,0.0,223,331,363026-364060,-1,0,CP002916.1,402,1,nifB,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__Methanomethylophilus sp000350305
GB_GCA_000350305.1,nifB,CP002916.1_403_A,1.5e-31,105.8,3.9,0,55,364085-364252,-1,0,CP002916.1,403,1,nifB,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__Methanomethylophilus sp000350305
GB_GCA_000350305.1,nifB,CP002916.1_662_A,3.6e-05,18.8,0.3,0,99,618978-619322,1,0,CP002916.1,662,5,nifB,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__Methanomethylophilus sp000350305
GB_GCA_000415965.1,nifB,KE356560.1_2861_A,8.5e-07,25.3,0.0,33,198,2859494-2860609,-1,0,KE356560.1,2861,5,nifB,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Haloquadratum;s__Haloquadratum walsbyi_A
GB_GCA_000496175.1,nifB,KI543161.1_36_A,9e-05,18.4,0.0,1,121,33292-33747,-1,0,KI543161.1,36,1,nifB,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum sp000496175
GB_GCA_000496175.1,nifB,KI543167.1_75_A,2.5e-06,23.5,0.1,1,152,65800-66804,-1,0,KI543167.1,75,1,nifB,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__Halorubrum sp000496175
GB_GCA_000496195.1,nifB,KI543181.1_149_A,1.7e-06,23.9,0.0,11,160,147671-148723,1,0,KI543181.1,149,1,nifB,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__A07HB70;s__A07HB70 sp000496195
GB_GCA_000496215.1,nifB,KI543221.1_51_A,1.2e-08,31.0,0.0,3,154,49548-50576,-1,0,KI543221.1,51,1,nifB,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halonotius;s__Halonotius sp000496215
GB_GCA_000496235.1,nifB,KI543234.1_426_A,5.4e-06,22.5,0.0,4,153,412102-413085,1,0,KI543234.1,426,2,nifB,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__J07HR59;s__J07HR59 sp000496235
GB_GCA_000499765.1,nifB,HG425166.1_106_A,1e-07,27.6,0.8,3,200,111286-112209,-1,0,HG425166.1,106,7,nifB,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000499765
GB_GCA_000499765.1,nifB,HG425166.1_122_A,5.7e-12,41.6,0.0,0,104,127188-127508,-1,0,HG425166.1,122,6,nifB,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000499765
GB_GCA_000499765.1,nifE,HG425166.1_123_B,2.2e-07,26.7,0.0,217,449,127509-128936,-1,0,HG425166.1,123,6,nifE,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000499765
GB_GCA_000499765.1,nifK,HG425166.1_123_A,2.9e-151,501.2,0.1,0,456,127509-128936,-1,0,HG425166.1,123,6,nifK,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000499765
GB_GCA_000499765.1,nifN,HG425166.1_123_A,4e-150,497.1,0.0,0,474,127509-128936,-1,0,HG425166.1,123,6,nifK,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000499765
GB_GCA_000499765.1,nifE,HG425166.1_123_A,6.3e-24,81.3,0.1,1,199,127509-128936,-1,0,HG425166.1,123,6,nifK,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000499765
GB_GCA_000499765.1,nifD,HG425166.1_123_A,6.1e-15,51.4,0.0,16,458,127509-128936,-1,0,HG425166.1,123,6,nifK,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000499765
GB_GCA_000499765.1,nifN,HG425166.1_124_A,5.8e-38,127.3,0.0,32,438,128929-130377,-1,0,HG425166.1,124,6,nifE,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000499765
GB_GCA_000499765.1,nifK,HG425166.1_124_A,1.8e-28,96.3,0.4,31,439,128929-130377,-1,0,HG425166.1,124,6,nifE,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000499765
GB_GCA_000499765.1,nifD,HG425166.1_124_A,3.4e-155,513.9,0.7,3,459,128929-130377,-1,0,HG425166.1,124,6,nifE,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000499765
GB_GCA_000499765.1,nifE,HG425166.1_124_A,7.7e-212,702.0,0.2,0,473,128929-130377,-1,0,HG425166.1,124,6,nifE,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000499765
GB_GCA_000499765.1,nifK,HG425166.1_125_A,4.3e-167,553.4,0.0,2,462,130550-131938,-1,0,HG425166.1,125,6,nifK,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000499765
GB_GCA_000499765.1,nifD,HG425166.1_125_B,5.2e-08,28.5,0.0,226,462,130550-131938,-1,0,HG425166.1,125,6,nifE,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000499765
GB_GCA_000499765.1,nifE,HG425166.1_125_A,1.1e-17,60.7,0.1,17,206,130550-131938,-1,0,HG425166.1,125,6,nifK,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000499765
GB_GCA_000499765.1,nifN,HG425166.1_125_A,4.4e-129,427.7,0.0,0,462,130550-131938,-1,0,HG425166.1,125,6,nifK,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000499765
GB_GCA_000499765.1,nifD,HG425166.1_125_A,1.6e-09,33.5,0.0,16,210,130550-131938,-1,0,HG425166.1,125,6,nifK,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000499765
GB_GCA_000499765.1,nifE,HG425166.1_125_B,5.8e-10,35.2,0.0,228,461,130550-131938,-1,0,HG425166.1,125,6,nifE,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000499765
GB_GCA_000499765.1,nifK,HG425166.1_126_B,3.1e-11,39.4,0.0,99,250,131935-133413,-1,0,HG425166.1,126,6,nifK,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000499765
GB_GCA_000499765.1,nifD,HG425166.1_126_A,9.6e-190,627.9,0.2,4,478,131935-133413,-1,0,HG425166.1,126,6,nifD,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000499765
GB_GCA_000499765.1,nifK,HG425166.1_126_C,0.00031,16.3,0.1,238,467,131935-133413,-1,0,HG425166.1,126,6,nifK,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000499765
GB_GCA_000499765.1,nifE,HG425166.1_126_A,2e-131,436.4,0.0,3,489,131935-133413,-1,0,HG425166.1,126,6,nifD,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000499765
GB_GCA_000499765.1,nifN,HG425166.1_126_A,3.8e-23,78.5,0.1,42,476,131935-133413,-1,0,HG425166.1,126,6,nifD,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000499765
GB_GCA_000499765.1,nifH,HG425166.1_129_A,1.9e-133,441.3,6.8,0,276,134248-135078,-1,0,HG425166.1,129,6,nifH,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000499765
