,hit,contig,score
GB_GCA_008125075.1,VLTH01000002.1_2062_A,VLTH01000002.1_2062,0
GB_GCA_011040095.1,DRDE01000098.1_5_A,DRDE01000098.1_5,0
GB_GCA_013152195.1,JAADGU010000141.1_2_A,JAADGU010000141.1_2,0
GB_GCA_013336025.1,JAAXUM010000012.1_2_A,JAAXUM010000012.1_2,0
GB_GCA_015233655.1,JADFXI010000125.1_8_A,JADFXI010000125.1_8,0
GB_GCA_015654635.1,JAATGP010000008.1_6_A,JAATGP010000008.1_6,0
GB_GCA_016213825.1,JACQZP010000031.1_35_A,JACQZP010000031.1_35,0
GB_GCA_016285135.1,JAEEQC010000038.1_7_A,JAEEQC010000038.1_7,0
GB_GCA_016841205.1,JAENZP010000001.1_243_A,JAENZP010000001.1_243,0
GB_GCA_017420535.1,JAFOIV010000026.1_31_A,JAFOIV010000026.1_31,0
GB_GCA_017544125.1,JAFYET010000108.1_2_A,JAFYET010000108.1_2,0
GB_GCA_017860295.1,JAFNAS010000019.1_43_A,JAFNAS010000019.1_43,0
GB_GCA_017889705.1,JAGGAB010000004.1_104_A,JAGGAB010000004.1_104,0
GB_GCA_018262505.1,JAGSYV010000169.1_4_A,JAGSYV010000169.1_4,0
GB_GCA_020054815.1,JAIHAN010000010.1_32_A,JAIHAN010000010.1_32,0
GB_GCA_021372375.1,JAJFUN010000087.1_10_A,JAJFUN010000087.1_10,0
GB_GCA_021786555.1,JAJYNB010000406.1_3_A,JAJYNB010000406.1_3,0
GB_GCA_022508725.1,JAFLUR010000007.1_6_A,JAFLUR010000007.1_6,0
GB_GCA_023388195.1,JAEWGR010000147.1_8_A,JAEWGR010000147.1_8,0
GB_GCA_023392075.1,JAEVZU010000095.1_10_A,JAEVZU010000095.1_10,0
GB_GCA_023397655.1,JAEWTW010000012.1_123_A,JAEWTW010000012.1_123,0
GB_GCA_023398815.1,JAEWRW010000037.1_44_A,JAEWRW010000037.1_44,0
GB_GCA_023408075.1,JAEYKW010000009.1_35_A,JAEYKW010000009.1_35,0
GB_GCA_023409535.1,JAEYGZ010000027.1_339_A,JAEYGZ010000027.1_339,0
GB_GCA_023412275.1,JAEYNY010000136.1_8_A,JAEYNY010000136.1_8,0
GB_GCA_023415775.1,JAEZJM010000014.1_50_A,JAEZJM010000014.1_50,0
GB_GCA_023423045.1,JAFAGA010000013.1_14_A,JAFAGA010000013.1_14,0
GB_GCA_023429995.1,JAEZCE010000027.1_135_A,JAEZCE010000027.1_135,0
GB_GCA_023436145.1,JAEZKP010000087.1_32_B,JAEZKP010000087.1_32,0
GB_GCA_023443285.1,JAEZVB010000091.1_14_A,JAEZVB010000091.1_14,0
GB_GCA_023701135.1,JAMPXP010000016.1_61_A,JAMPXP010000016.1_61,0
GB_GCA_026982355.1,JALSHG010000055.1_3_A,JALSHG010000055.1_3,0
GB_GCA_028692415.1,JAQUXM010000024.1_13_A,JAQUXM010000024.1_13,0
GB_GCA_029266335.1,JAQSXC010000001.1_47_A,JAQSXC010000001.1_47,0
GB_GCA_030445805.1,JASUTA010000042.1_3_A,JASUTA010000042.1_3,0
GB_GCA_031260235.1,JAIRKG010000065.1_20_A,JAIRKG010000065.1_20,0
GB_GCA_031262245.1,JAISIJ010000083.1_27_A,JAISIJ010000083.1_27,0
GB_GCA_031270705.1,JAISWW010000200.1_10_A,JAISWW010000200.1_10,0
GB_GCA_031272745.1,JAISTF010000115.1_4_A,JAISTF010000115.1_4,0
GB_GCA_031274425.1,JAISQE010000139.1_10_A,JAISQE010000139.1_10,0
GB_GCA_031276855.1,JAISMH010000045.1_3_A,JAISMH010000045.1_3,0
GB_GCA_031278635.1,JAITKA010000060.1_5_A,JAITKA010000060.1_5,0
GB_GCA_031280855.1,JAITGH010000092.1_4_A,JAITGH010000092.1_4,0
GB_GCA_031283515.1,JAITBS010000254.1_10_A,JAITBS010000254.1_10,0
GB_GCA_031288955.1,JAITQJ010000199.1_16_A,JAITQJ010000199.1_16,0
GB_GCA_031290135.1,JAITOE010000134.1_11_A,JAITOE010000134.1_11,0
GB_GCA_031292565.1,JARLGW010000005.1_219_A,JARLGW010000005.1_219,0
GB_GCA_031975295.1,DALYNO010000232.1_5_A,DALYNO010000232.1_5,0
GB_GCA_035281865.1,DATEVI010000481.1_5_A,DATEVI010000481.1_5,0
GB_GCA_035560855.1,DATMYT010000102.1_11_A,DATMYT010000102.1_11,0
GB_GCA_036244995.1,BTTF01000071.1_7_A,BTTF01000071.1_7,0
GB_GCA_036771135.1,DAIPHW010000103.1_9_A,DAIPHW010000103.1_9,0
GB_GCA_038247115.1,JBBRVG010000007.1_22_A,JBBRVG010000007.1_22,0
GB_GCA_040500365.1,CP148031.1_363_A,CP148031.1_363,0
GB_GCA_040758355.1,JBFLWF010000045.1_10_A,JBFLWF010000045.1_10,0
GB_GCA_041447245.1,JBGMEA010000012.1_151_A,JBGMEA010000012.1_151,0
GB_GCA_041907765.1,JAYRGQ010000026.1_19_A,JAYRGQ010000026.1_19,0
GB_GCA_046533095.1,JAJQRA010000025.1_6_A,JAJQRA010000025.1_6,0
GB_GCA_047600785.1,JASGKH010000002.1_2125_A,JASGKH010000002.1_2125,0
GB_GCA_047718855.1,JBDNRY010000003.1_128_A,JBDNRY010000003.1_128,0
GB_GCA_049302075.1,JBAQLS010000042.1_24_A,JBAQLS010000042.1_24,0
GB_GCA_049508975.1,JBELAI010000043.1_19_A,JBELAI010000043.1_19,0
GB_GCA_050049665.1,JASFVU010000112.1_2_A,JASFVU010000112.1_2,0
GB_GCA_050288525.1,JBNKDZ010000641.1_8_B,JBNKDZ010000641.1_8,0
GB_GCA_900108205.1,FNUU01000004.1_132_B,FNUU01000004.1_132,0
GB_GCA_900550105.1,URQW01000020.1_22_A,URQW01000020.1_22,0
GB_GCA_902786975.1,CADAES010000025.1_20_A,CADAES010000025.1_20,0
GB_GCA_903902855.1,CAIUWK010000045.1_18_A,CAIUWK010000045.1_18,0
GB_GCA_937860145.1,CALMBF010000011.1_15_A,CALMBF010000011.1_15,0
GB_GCA_945957385.1,CAMFKP010000030.1_30_A,CAMFKP010000030.1_30,0
GB_GCA_946409405.1,CAMJWL010000263.1_2_A,CAMJWL010000263.1_2,0
GB_GCA_947165895.1,CAMVCB010000002.1_41_A,CAMVCB010000002.1_41,0
GB_GCA_947585795.1,CANPXG010000011.1_3_A,CANPXG010000011.1_3,0
GB_GCA_963523055.1,CAURBV010000013.1_70_A,CAURBV010000013.1_70,0
GB_GCA_963662595.1,OY759748.1_219_A,OY759748.1_219,0
GB_GCA_963666475.2,OY762821.2_737_A,OY762821.2_737,0
GB_GCA_963675655.1,OY776489.1_1558_A,OY776489.1_1558,0
GB_GCA_963677095.1,OY781875.1_3227_A,OY781875.1_3227,0
GB_GCA_963715335.1,CAVQRZ010000005.1_166_A,CAVQRZ010000005.1_166,0
GB_GCA_963780885.1,CAWAEO010000002.1_1642_A,CAWAEO010000002.1_1642,0
GB_GCA_963811985.1,CAWEUH010000030.1_58_A,CAWEUH010000030.1_58,0
GB_GCA_964402355.1,CAYOCB010000001.1_392_A,CAYOCB010000001.1_392,0
GB_GCA_964418735.1,CAYQMY010000013.1_7_A,CAYQMY010000013.1_7,0
GB_GCA_964444065.1,CAYUFL010000001.1_68_A,CAYUFL010000001.1_68,0
GB_GCA_964477085.1,CAYZDF010000007.1_56_A,CAYZDF010000007.1_56,0
GB_GCA_964520475.1,CAZFNS010000003.1_51_A,CAZFNS010000003.1_51,0
GB_GCA_964548535.1,CAZJRQ010000009.1_58_A,CAZJRQ010000009.1_58,0
GB_GCA_964601085.1,CAZRLN010000009.1_41_A,CAZRLN010000009.1_41,0
GB_GCA_964618545.1,CAZUBG010000032.1_12_A,CAZUBG010000032.1_12,0
GB_GCA_964648885.1,CAZYMK010000142.1_5_A,CAZYMK010000142.1_5,0
RS_GCF_000013745.1,NC_007925.1_4716_A,NC_007925.1_4716,0
RS_GCF_000145275.1,NC_014393.1_2842_A,NC_014393.1_2842,0
RS_GCF_000183135.1,NC_014734.1_1365_A,NC_014734.1_1365,0
RS_GCF_000230835.1,NZ_CM001240.1_3258_A,NZ_CM001240.1_3258,0
RS_GCF_000260795.1,NZ_AJGU01000011.1_22_A,NZ_AJGU01000011.1_22,0
RS_GCF_000315365.1,NZ_CAOS01000003.1_438_A,NZ_CAOS01000003.1_438,0
RS_GCF_000373985.1,NZ_KB893046.1_33_A,NZ_KB893046.1_33,0
RS_GCF_000420465.1,NZ_ATUZ01000015.1_103_A,NZ_ATUZ01000015.1_103,0
RS_GCF_000518685.1,NZ_JAEB01000011.1_74_A,NZ_JAEB01000011.1_74,0
RS_GCF_000612505.1,NZ_CP004078.1_3121_A,NZ_CP004078.1_3121,0
RS_GCF_000686725.1,NZ_JMLK01000008.1_190_A,NZ_JMLK01000008.1_190,0
RS_GCF_000807255.1,NZ_CP009268.1_3285_A,NZ_CP009268.1_3285,0
RS_GCF_001045675.1,NZ_LEKT01000018.1_9_A,NZ_LEKT01000018.1_9,0
RS_GCF_001571775.1,NZ_LRVM01000004.1_241_A,NZ_LRVM01000004.1_241,0
RS_GCF_001766835.1,NZ_LKEU01000018.1_9_A,NZ_LKEU01000018.1_9,0
RS_GCF_002029235.1,NZ_MZGV01000018.1_8_A,NZ_MZGV01000018.1_8,0
RS_GCF_002257695.2,NZ_CP155571.1_5103_A,NZ_CP155571.1_5103,0
RS_GCF_002933875.1,NZ_BFAV01000073.1_56_A,NZ_BFAV01000073.1_56,0
RS_GCF_003149105.1,NZ_QGDS01000018.1_41_A,NZ_QGDS01000018.1_41,0
RS_GCF_003609635.1,NZ_MCIA01000016.1_8_A,NZ_MCIA01000016.1_8,0
RS_GCF_004102745.1,NZ_RLII01000015.1_44_A,NZ_RLII01000015.1_44,0
RS_GCF_004801295.1,NZ_SSOC01000003.1_581_A,NZ_SSOC01000003.1_581,0
RS_GCF_007641255.1,NZ_CP036259.1_4171_A,NZ_CP036259.1_4171,0
RS_GCF_008330225.1,NZ_CP042466.1_3425_A,NZ_CP042466.1_3425,0
RS_GCF_009720655.1,NZ_WNKS01000020.1_59_A,NZ_WNKS01000020.1_59,0
RS_GCF_012912135.1,NZ_QMEB01000001.1_16_A,NZ_QMEB01000001.1_16,0
RS_GCF_014202345.1,NZ_JACHGO010000003.1_17_A,NZ_JACHGO010000003.1_17,0
RS_GCF_015594625.1,NZ_JADNRQ010000006.1_115_A,NZ_JADNRQ010000006.1_115,0
RS_GCF_017338855.1,NZ_CP071382.1_1777_A,NZ_CP071382.1_1777,0
RS_GCF_018835585.1,NZ_JAHGVE010000013.1_75_A,NZ_JAHGVE010000013.1_75,0
RS_GCF_019144085.1,NZ_JAHHUY010000019.1_19_A,NZ_JAHHUY010000019.1_19,0
RS_GCF_020194955.2,NZ_JAFCIY020000028.1_61_A,NZ_JAFCIY020000028.1_61,0
RS_GCF_022271405.1,NZ_JAJNAL010000004.1_23_A,NZ_JAJNAL010000004.1_23,0
RS_GCF_024460775.1,NZ_JANFYZ010000001.1_482_A,NZ_JANFYZ010000001.1_482,0
RS_GCF_026650985.1,NZ_CP086239.1_2427_A,NZ_CP086239.1_2427,0
RS_GCF_030269905.1,NZ_BSVC01000003.1_38_A,NZ_BSVC01000003.1_38,0
RS_GCF_031292145.1,NZ_JARLHR010000026.1_107_A,NZ_JARLHR010000026.1_107,0
RS_GCF_033110965.1,NZ_CP137003.1_1691_A,NZ_CP137003.1_1691,0
RS_GCF_036398755.1,NZ_DASWOM010000129.1_5_A,NZ_DASWOM010000129.1_5,0
RS_GCF_036763085.1,NZ_JBAIYU010000033.1_3_A,NZ_JBAIYU010000033.1_3,0
RS_GCF_041320595.1,NZ_CP166625.1_4335_A,NZ_CP166625.1_4335,0
RS_GCF_042434745.1,NZ_JBHLSS010000032.1_25_A,NZ_JBHLSS010000032.1_25,0
RS_GCF_043633585.1,NZ_CP141832.1_720_A,NZ_CP141832.1_720,0
RS_GCF_047308185.1,NZ_JAHXPU010000027.1_67_A,NZ_JAHXPU010000027.1_67,0
RS_GCF_047652685.1,NZ_CP157399.1_191_A,NZ_CP157399.1_191,0
RS_GCF_047718555.1,NZ_JBDNRK010000036.1_2_A,NZ_JBDNRK010000036.1_2,0
RS_GCF_050058015.1,NZ_CP170111.1_394_A,NZ_CP170111.1_394,0
RS_GCF_900109655.1,NZ_FOAT01000004.1_152_A,NZ_FOAT01000004.1_152,0
RS_GCF_900115365.1,NZ_FOWD01000022.1_17_A,NZ_FOWD01000022.1_17,0
RS_GCF_900142215.1,NZ_FRAC01000010.1_260_A,NZ_FRAC01000010.1_260,0
RS_GCF_900167465.1,NZ_FUWR01000020.1_39_A,NZ_FUWR01000020.1_39,0
RS_GCF_902477725.1,NZ_CABSIF010000016.1_55_A,NZ_CABSIF010000016.1_55,0
RS_GCF_963676665.2,NZ_CAXXNL010000010.1_11_A,NZ_CAXXNL010000010.1_11,0
reference,anfO,,0
GB_GCA_002503885.1,DASQ01000002.1_26_A,DASQ01000002.1_26,0
GB_GCA_003315675.1,NIZU01000043.1_12_A,NIZU01000043.1_12,0
GB_GCA_016284295.1,JAEEOP010000045.1_16_A,JAEEOP010000045.1_16,0
GB_GCA_020356005.1,CP070629.1_976_A,CP070629.1_976,0
GB_GCA_025358115.1,JANYKQ010000029.1_27_A,JANYKQ010000029.1_27,0
GB_GCA_030539515.1,JAUNXZ010000060.1_2_A,JAUNXZ010000060.1_2,0
GB_GCA_031288985.1,JAITQH010000039.1_5_A,JAITQH010000039.1_5,0
GB_GCA_036504055.1,DASXVU010000030.1_42_A,DASXVU010000030.1_42,0
GB_GCA_041652515.1,JBAZHD010000041.1_13_A,JBAZHD010000041.1_13,0
GB_GCA_050309445.1,JBNRMI010000023.1_85_A,JBNRMI010000023.1_85,0
GB_GCA_947259185.1,CAMYKT010000001.1_111_A,CAMYKT010000001.1_111,0
GB_GCA_963635855.1,CAVHHN010000045.1_3_A,CAVHHN010000045.1_3,0
GB_GCA_963667735.1,OY763919.1_204_A,OY763919.1_204,0
GB_GCA_963677065.1,OY781872.1_258_A,OY781872.1_258,0
GB_GCA_963758935.1,CAVWXD010000008.1_295_A,CAVWXD010000008.1_295,0
GB_GCA_963815625.1,CAWFHG010000003.1_471_A,CAWFHG010000003.1_471,0
GB_GCA_964445265.1,CAYUPU010000086.1_2_A,CAYUPU010000086.1_2,0
GB_GCA_964550065.1,CAZJWD010000001.1_487_A,CAZJWD010000001.1_487,0
RS_GCF_000007345.1,NC_003552.1_1238_A,NC_003552.1_1238,0
RS_GCF_000063445.1,NC_009464.1_1395_A,NC_009464.1_1395,0
RS_GCF_000784355.1,NZ_KN360939.1_43_A,NZ_KN360939.1_43,0
RS_GCF_004102725.1,NZ_LHQS01000002.1_301_A,NZ_LHQS01000002.1_301,0
RS_GCF_021023085.1,NZ_PGCK01000003.1_103_A,NZ_PGCK01000003.1_103,0
RS_GCF_028679455.1,NZ_JAJRBM010000074.1_11_A,NZ_JAJRBM010000074.1_11,0
RS_GCF_035560735.1,NZ_DATMYY010000063.1_9_A,NZ_DATMYY010000063.1_9,0
RS_GCF_049676595.1,NZ_CP187259.1_772_A,NZ_CP187259.1_772,0
GB_GCA_000242935.3,CP007053.1_265_A,CP007053.1_265,0
GB_GCA_001603035.1,LVAS01000062.1_16_A,LVAS01000062.1_16,0
GB_GCA_002067205.1,MVQL01000253.1_3_A,MVQL01000253.1_3,0
GB_GCA_002306975.1,DBTI01000114.1_25_A,DBTI01000114.1_25,0
GB_GCA_002307215.1,DBTU01000011.1_32_A,DBTU01000011.1_32,0
GB_GCA_002397275.1,DHAA01000074.1_18_A,DHAA01000074.1_18,0
GB_GCA_002419465.1,DIGE01000018.1_168_A,DIGE01000018.1_168,0
GB_GCA_002840165.1,PGZN01000004.1_48_A,PGZN01000004.1_48,0
GB_GCA_003250275.1,QKGW01000496.1_6_A,QKGW01000496.1_6,0
GB_GCA_004143605.1,AWVY01000037.1_113_A,AWVY01000037.1_113,0
GB_GCA_009668975.1,SBEG01000017.1_32_A,SBEG01000017.1_32,0
GB_GCA_011051565.1,DRKX01000122.1_5_A,DRKX01000122.1_5,0
GB_GCA_013152485.1,JAADGG010000047.1_5_A,JAADGG010000047.1_5,0
GB_GCA_013377095.1,JACAAY010000010.1_5_A,JACAAY010000010.1_5,0
GB_GCA_015233895.1,JADFXG010000040.1_7_A,JADFXG010000040.1_7,0
GB_GCA_015654745.1,JAATGH010000045.1_2_A,JAATGH010000045.1_2,0
GB_GCA_016213825.1,JACQZP010000031.1_134_A,JACQZP010000031.1_134,0
GB_GCA_016286055.1,JAEERW010000006.1_222_A,JAEERW010000006.1_222,0
GB_GCA_016841245.1,JAENZN010000005.1_123_A,JAENZN010000005.1_123,0
GB_GCA_017428545.1,JAFRQR010000020.1_190_A,JAFRQR010000020.1_190,0
GB_GCA_017545245.1,JAFWPB010000036.1_11_A,JAFWPB010000036.1_11,0
GB_GCA_017861285.1,JAGFXO010000093.1_5_A,JAGFXO010000093.1_5,0
GB_GCA_017889725.1,JAGGAE010000027.1_4_A,JAGGAE010000027.1_4,0
GB_GCA_018372435.1,JAHAJA010000003.1_114_A,JAHAJA010000003.1_114,0
GB_GCA_020062545.1,JAGUWD010000007.1_210_A,JAGUWD010000007.1_210,0
GB_GCA_021781655.1,JAJXWJ010000032.1_16_A,JAJXWJ010000032.1_16,0
GB_GCA_021789595.1,JAJYJJ010000024.1_21_A,JAJYJJ010000024.1_21,0
GB_GCA_022508725.1,JAFLUR010000007.1_9_A,JAFLUR010000007.1_9,0
GB_GCA_023388635.1,JAEWFW010000051.1_11_A,JAEWFW010000051.1_11,0
GB_GCA_023392535.1,JAEVYY010000014.1_162_A,JAEVYY010000014.1_162,0
GB_GCA_023397905.1,JAEWSZ010000134.1_69_A,JAEWSZ010000134.1_69,0
GB_GCA_023399375.1,JAEWPX010000116.1_9_A,JAEWPX010000116.1_9,0
GB_GCA_023408075.1,JAEYKW010000033.1_41_A,JAEYKW010000033.1_41,0
GB_GCA_023409535.1,JAEYGZ010000027.1_345_A,JAEYGZ010000027.1_345,0
GB_GCA_023412455.1,JAEYNQ010000184.1_15_A,JAEYNQ010000184.1_15,0
GB_GCA_023416695.1,JAEZGY010000030.1_49_A,JAEZGY010000030.1_49,0
GB_GCA_023423335.1,JAFAFU010000074.1_56_A,JAFAFU010000074.1_56,0
GB_GCA_023429995.1,JAEZCE010000028.1_9_A,JAEZCE010000028.1_9,0
GB_GCA_023436395.1,JAEZJJ010000034.1_22_A,JAEZJJ010000034.1_22,0
GB_GCA_023443515.1,JAEZUC010000029.1_67_A,JAEZUC010000029.1_67,0
GB_GCA_024275975.1,JAJRYC010000090.1_62_A,JAJRYC010000090.1_62,0
GB_GCA_027324025.1,DAHVYW010000054.1_17_A,DAHVYW010000054.1_17,0
GB_GCA_029239675.1,JARBUM010000009.1_33_A,JARBUM010000009.1_33,0
GB_GCA_029266335.1,JAQSXC010000120.1_3_A,JAQSXC010000120.1_3,0
GB_GCA_030586155.1,CP130741.1_560_A,CP130741.1_560,0
GB_GCA_031261245.1,JAISKU010000109.1_17_A,JAISKU010000109.1_17,0
GB_GCA_031267115.1,JAIRZS010000070.1_5_B,JAIRZS010000070.1_5,0
GB_GCA_031270725.1,JAISWS010000003.1_6_A,JAISWS010000003.1_6,0
GB_GCA_031273265.1,JAISSH010000039.1_28_A,JAISSH010000039.1_28,0
GB_GCA_031275395.1,JAISOU010000021.1_14_A,JAISOU010000021.1_14,0
GB_GCA_031276865.1,JAISMF010000062.1_21_A,JAISMF010000062.1_21,0
GB_GCA_031279125.1,JAITJC010000038.1_14_A,JAITJC010000038.1_14,0
GB_GCA_031280915.1,JAITGC010000005.1_12_A,JAITGC010000005.1_12,0
GB_GCA_031283915.1,JAITAY010000333.1_1_A,JAITAY010000333.1_1,0
GB_GCA_031289165.1,JAITPZ010000292.1_3_A,JAITPZ010000292.1_3,0
GB_GCA_031290235.1,JAITNX010000196.1_14_A,JAITNX010000196.1_14,0
GB_GCA_031401815.1,JANNRW010000103.1_1_A,JANNRW010000103.1_1,0
GB_GCA_032079965.1,DAMATJ010000013.1_43_A,DAMATJ010000013.1_43,0
GB_GCA_035298825.1,DATGXR010000094.1_4_A,DATGXR010000094.1_4,0
GB_GCA_035560935.1,DATMYQ010000185.1_9_A,DATMYQ010000185.1_9,0
GB_GCA_036260765.1,DATAMA010000030.1_1_A,DATAMA010000030.1_1,0
GB_GCA_036771135.1,DAIPHW010000264.1_1_A,DAIPHW010000264.1_1,0
GB_GCA_039594245.1,JBCNNT010000012.1_1383_A,JBCNNT010000012.1_1383,0
GB_GCA_040500365.1,CP148031.1_364_A,CP148031.1_364,0
GB_GCA_040767305.1,JAXGOV010000003.1_95_A,JAXGOV010000003.1_95,0
GB_GCA_041583675.1,JBFHFI010000020.1_9_A,JBFHFI010000020.1_9,0
GB_GCA_041911695.1,JAYROM010000209.1_6_A,JAYROM010000209.1_6,0
GB_GCA_046533095.1,JAJQRA010000038.1_227_A,JAJQRA010000038.1_227,0
GB_GCA_047602645.1,JASGGU010000075.1_14_A,JASGGU010000075.1_14,0
GB_GCA_047722935.1,JBDNZS010000006.1_16_A,JBDNZS010000006.1_16,0
GB_GCA_049323755.1,JBMOPE010000007.1_22_A,JBMOPE010000007.1_22,0
GB_GCA_049513815.1,JBEKVR010000163.1_9_A,JBEKVR010000163.1_9,0
GB_GCA_050251415.1,JBFWMT010000052.1_15_A,JBFWMT010000052.1_15,0
GB_GCA_051305875.1,JBPPMD010000011.1_5_A,JBPPMD010000011.1_5,0
GB_GCA_900315285.1,OMYO01000017.1_31_A,OMYO01000017.1_31,0
GB_GCA_902766335.1,CACXDI010000148.1_24_A,CACXDI010000148.1_24,0
GB_GCA_902787365.1,CADAGC010000127.1_4_A,CADAGC010000127.1_4,0
GB_GCA_903929485.1,CAIYUY010000173.1_37_A,CAIYUY010000173.1_37,0
GB_GCA_937868725.1,CALMMQ010000017.1_4_A,CALMMQ010000017.1_4,0
GB_GCA_946405045.1,CAMJFV010000375.1_4_A,CAMJFV010000375.1_4,0
GB_GCA_946409475.1,CAMJWQ010000008.1_13_A,CAMJWQ010000008.1_13,0
GB_GCA_947167535.1,CAMVIL010000005.1_14_A,CAMVIL010000005.1_14,0
GB_GCA_947624485.1,CANQKM010000003.1_56_A,CANQKM010000003.1_56,0
GB_GCA_963523075.1,CAURBW010000014.1_81_A,CAURBW010000014.1_81,0
GB_GCA_963663285.2,CAXXNI010000004.1_871_A,CAXXNI010000004.1_871,0
GB_GCA_963666745.1,OY762961.1_1339_A,OY762961.1_1339,0
GB_GCA_963675915.1,OY780959.1_154_A,OY780959.1_154,0
GB_GCA_963677305.1,OY781925.1_971_A,OY781925.1_971,0
GB_GCA_963717775.1,CAVQWZ010000025.1_130_A,CAVQWZ010000025.1_130,0
GB_GCA_963784135.1,CAWAQG010000008.1_349_A,CAWAQG010000008.1_349,0
GB_GCA_963849485.1,CAWKIF010000127.1_9_A,CAWKIF010000127.1_9,0
GB_GCA_964402355.1,CAYOCB010000003.1_377_A,CAYOCB010000003.1_377,0
GB_GCA_964424695.1,CAYRKE010000127.1_6_B,CAYRKE010000127.1_6,0
GB_GCA_964446265.1,CAYUNV010000073.1_11_A,CAYUNV010000073.1_11,0
GB_GCA_964484555.1,CAZAHK010000233.1_3_A,CAZAHK010000233.1_3,0
GB_GCA_964528755.1,CAZGWN010000082.1_6_A,CAZGWN010000082.1_6,0
GB_GCA_964549435.1,CAZJVB010000033.1_19_A,CAZJVB010000033.1_19,0
GB_GCA_964601865.1,CAZRPI010000143.1_3_A,CAZRPI010000143.1_3,0
GB_GCA_964622705.1,CAZUSH010000093.1_3_A,CAZUSH010000093.1_3,0
GB_GCA_964651515.1,CAZYYB010000009.1_4_A,CAZYYB010000009.1_4,0
RS_GCF_000015045.1,NC_008609.1_3450_A,NC_008609.1_3450,0
RS_GCF_000166055.1,NC_014664.1_3345_A,NC_014664.1_3345,0
RS_GCF_000183135.1,NC_014734.1_1366_A,NC_014734.1_1366,0
RS_GCF_000233715.2,NC_021184.1_2320_A,NC_021184.1_2320,0
RS_GCF_000271485.2,NZ_AKVN02000001.1_4462_A,NZ_AKVN02000001.1_4462,0
RS_GCF_000317435.1,NC_019751.1_203_A,NC_019751.1_203,0
RS_GCF_000374545.1,NZ_KB894582.1_27_A,NZ_KB894582.1_27,0
RS_GCF_000421965.1,NZ_ATAY01000019.1_12_A,NZ_ATAY01000019.1_12,0
RS_GCF_000520715.1,NZ_ASSD01000595.1_4_A,NZ_ASSD01000595.1_4,0
RS_GCF_000621505.1,NZ_JHYD01000009.1_83_A,NZ_JHYD01000009.1_83,0
