'JAGRBY01 sp937864185|wastewater metagenome|GB GCA 937864185.1|CALMIS010000306.1 10'
'Sodalinema sp001314905|enrichment culture HLUCC-O from microbial mat sample  contains cyanobacterium Phormidium OSCR and associated heterotrophs|GB GCA 001314905.1|LJZT01000032.1 8'
'JAILZL01 sp023512475|hot spring sediment|GB GCA 023512475.1|JAILZL010000033.1 5'
'JADJPE01 sp016713425|activated sludge from Fred 18-Q3-R57-64|GB GCA 016713425.1|JADJPE010000005.1 5303'
'GWF2-57-35 sp001804865|Rifle well CD01 at time point 6 / F  5m depth  0.2 filter|GB GCA 001804865.1|MHBK01000027.1 28'
'CAIPAT01 sp903840185|lake water|GB GCA 903840185.1|CAIMFA010000121.1 21'
'UBA7708 sp002482415|Anode biofilm|GB GCA 002482415.1|DLFY01000306.1 15'
'SZUA-421 sp003245715|marine hydrothermal sulfide sediment TVG12|GB GCA 003245715.1|QKCJ01000049.1 162'
'JAFGGH01 sp028282745|Coral skeleton|GB GCA 028282745.1|JANQHJ010000106.1 8'
'PLanc-01 sp028277585|Coral skeleton|GB GCA 028277585.1|JANQFY010000072.1 20'
'JAAYCU01 sp012729595|anaerobic digestion of organic wastes under variable temperature conditions and feedstocks|GB GCA 012729595.1|JAAYCU010000081.1 4'
'CALARR01 sp937889015|metagenome|GB GCA 937889015.1|CALARR010000214.1 45'
'CAIPEB01 sp903863885|lake water|GB GCA 903863885.1|CAIPEB010000462.1 19'
'Crateriforma spongiae|sponge|RS GCF 012290005.1|NZ JAAXMS010000004.1 273'
'Novipirellula aureliae|jellyfish|RS GCF 007860185.1|NZ SJPY01000001.1 314'
'UBA7800 sp020974905|cold seep sediment|GB GCA 020974905.1|CP087563.1 4211'
'SLMF01 sp007124535|hypersaline soda lake sediment|GB GCA 007124535.1|SLEY01000464.1 20'
'Anammoximicrobium sp903927685|lake water|GB GCA 903927685.1|CAIYOB010000766.1 12'
'JADZCD01 sp020851735|Partial nitritation anammox bioreactor|GB GCA 020851735.1|JADZCD010000028.1 29'
'JANYKD01 sp025361735|sediment|GB GCA 025361735.1|JANYKD010000055.1 60'
'Fen-1064 sp003153955|permafrost active layer soil|GB GCA 003153955.1|PMCB01000075.1 16'
'Dehalococcoides mccartyi|none|RS GCF 000011905.1|NC 002936.3 1093'
'CAJVYK01 sp913009355|marine metagenome|GB GCA 913009355.1|CAJVYN010000085.1 8'
'TMP-7 sp018268715|activated sludge|GB GCA 018268715.1|JAFDVZ010000014.1 135'
'QIAJ01 sp003138955|permafrost active layer soil|GB GCA 003138955.1|PLHP01000198.1 2'
'JAEZPW01 sp023410055|feces|GB GCA 023410055.1|JAEYQK010000101.1 18'
'TOLSYN sp031296105|bioreactor inoculated with peat from an acidic fen and consecutively exposed to oxic and anoxic cycles|GB GCA 031296105.1|JARLGJ010000055.1 4'
'TOLSYN sp903851035|pond|GB GCA 903851035.1|CAINND010000060.1 29'
'REDP01 sp007695355|alkaline salt lake|GB GCA 007695355.1|REDX01000195.1 9'
'CAITNO01 sp903893795|lake water|GB GCA 903893795.1|CAITNO010000037.1 65'
'UBA5070 sp002414805|activated sludge from OdNE 18-Q3-R46-58|GB GCA 016715065.1|JADKBN010000029.1 656'
'FW602-bin16 sp004297765|groundwater|GB GCA 004297765.1|SCTZ01000199.1 10'
'Dehalogenimonas sp001005265|water|GB GCA 001005265.1|CP011392.1 604'
'JAEWRL01 sp023398955|feces|GB GCA 023398955.1|JAEWRL010000147.1 45'
'JANQQN01 sp028289325|Coral skeleton|GB GCA 028289325.1|JANQQN010000557.1 17'
'UBA6053 sp002429065|coral mucus|GB GCA 002429065.1|DIYN01000019.1 87'
'PXAS01 sp003565035|hypersaline soda lake sediment|GB GCA 003565035.1|PXDP01000002.1 5'
'JACRDC01 sp016218705|groundwater|GB GCA 016218705.1|JACRDC010000009.1 39'
'Desulforhopalus sp002733995|marine subsurface aquifer|GB GCA 002733995.1|NVXR01000005.1 140'
'JAKITW01 sp021647905|microbes were collected at JL-Dive96-S01|GB GCA 021647905.1|JAKITW010000014.1 12'
'Desulfocapsa sp016765495|formation fluids from subseafloor aquifer collected in 2012 through 2014|GB GCA 016765495.1|JAESPV010000032.1 39'
'Desulfolithobacter dissulfuricans|none|RS GCF 025998535.1|NZ AP024233.1 241'
'Desulforhopalus sp024710585|river sediments grown in denitrifying medium in anaerobic bioreactor system|GB GCA 024710585.1|JANJUM010000257.1 2'
'Pseudodesulfovibrio sp012516435|deep sea|RS GCF 012516435.1|NZ CP051216.1 2061'
'JACKCP01 sp020633955|activated sludge from Hong Kong Shatin wastewater treatment plant|GB GCA 020633955.1|JACKCP010000019.1 7'
'Nitratidesulfovibrio vulgaris|none|RS GCF 000195755.1|NC 005863.1 15'
'Cupidesulfovibrio sp031287575|termite gut|GB GCA 031287575.1|JAITSV010000076.1 10'
'CAITYL01 sp903896595|lake water|GB GCA 903896595.1|CAITYL010000375.1 16'
'Aminidesulfovibrio aminophilus A|Activated sludge|RS GCF 023660105.1|NZ JAMHGA010000038.1 201'
'UBA2270 sp013426795|pond water containing pink berries|GB GCA 013426795.1|JACDZF010000053.1 11'
'Desulfobulbus sp019163135|Lake Cadagno chemocline|GB GCA 019163135.1|JAFLKR010000027.1 23'
'SpSt-501 sp016219005|groundwater|GB GCA 016219005.1|JACRCN010000010.1 12'
'Desulfomicrobium sp002841885|groundwater|GB GCA 002841885.1|PHBE01000015.1 83'
'Desulfarculus baarsii|ditch mud|RS GCF 000143965.1|NC 014365.1 443'
'SURF-10 sp021737645|aquatic biome|GB GCA 021737645.1|JAIPDO010000010.1 16'
'Lentimonas sp902728235|sea water |RS GCF 902728235.1|NZ CACVBO010000001.1 215'
'Verruco-01 sp001604585|3 replicate cellulose-degrading anaerobic digesters sampled at day 96 and day 362|GB GCA 001604585.1|LVBW01000006.1 5'
'Terrimicrobium sp003054655|Rhizome surface|GB GCA 003054655.1|QAYZ01000015.1 118'
'JAOAAX01 sp026418675|alkaline hot spring water|GB GCA 026418675.1|JAOAAX010000058.1 4'
'Ruficoccus sp019603315|deep sea cold seep|RS GCF 019603315.1|NZ CP080649.1 2723'
'Pelagicoccus albus|seawater|RS GCF 014230145.1|NZ JACHVC010000008.1 89'
'Pelagicoccus sp031127815|Saccharina japonica surface|RS GCF 031127815.1|NZ JARXHY010000007.1 89'
'UBA7441 sp002729725|sediment from intertidal zone|RS GCF 031127805.1|NZ JARXHW010000028.1 36'
'JAIUMY01 sp022565335|bioreactors innoculated with microbial mats from alkaline soda lake|GB GCA 022565335.1|JAIUMY010000064.1 14'
'JAFGAQ01 sp028704125|NEUS F1 leachate from a leachate well at an active municipal landfill in the North Eastern United States|GB GCA 028704125.1|JAQVLM010000042.1 4'
'CAJCBL01 sp023443455|feces|GB GCA 023443455.1|JAEZUE010000035.1 25'
'JACKPV01 sp024233305|activated sludge from Hong Kong Shatin wastewater treatment plant|GB GCA 024233305.1|JACKPV010000023.1 317'
'JAIRPN01 sp031256975|termite gut|GB GCA 031256975.1|JAIRPN010000010.1 28'
'UBA7542 sp003134375|permafrost active layer soil|GB GCA 003134375.1|PLAY01000022.1 18'
'CAIYYI01 sp903930345|lake water|GB GCA 903930345.1|CAIYYI010000652.1 11'
'CAIUEN01 sp903898185|lake water|GB GCA 903898185.1|CAIUEN010000270.1 6'
'Achromatium palustre|salt march tide pool sediment|GB GCA 001044195.1|LFCU01000132.1 6'
'JAAYCX01 sp031271905|termite gut|GB GCA 031271905.1|JAISUT010000033.1 11'
'UBA695 sp028714515|NEUS A leachate from a leachate well at an active municipal landfill in the North Eastern United States|GB GCA 028714515.1|JAQTMF010000004.1 27'
'JARLGU01 sp031292625|bioreactor inoculated with peat from an acidic fen and consecutively exposed to oxic and anoxic cycles|GB GCA 031292625.1|JARLGU010000019.1 73'
'JAUPKJ01 sp030837505|urban river|GB GCA 030837505.1|JAUPKJ010000290.1 7'
'Cellulomonas sp023438885|feces|GB GCA 023438885.1|JAEXPS010000217.1 38'
'Actinotalea sp025717005|plant|RS GCF 025717005.1|NZ JAOVZU010000003.1 94'
'Propionibacterium cyclohexanicum|none|RS GCF 900111365.1|NZ FOGZ01000032.1 5'
'Propionicimonas sp013791955|groundwater|RS GCF 013791955.1|NZ VMSW01000007.1 45'
'JAAZBV01 sp016931115|Freshwater Sediment|GB GCA 016931115.1|JAFGFM010000203.1 51'
'RPRI01 sp018901125|Olkiluoto|GB GCA 018901125.1|JAHIFE010000121.1 54'
'UBA6078 sp028718565|NEUS D1 leachate from a leachate well at an active municipal landfill in the North Eastern United States|GB GCA 028718565.1|JAQULO010000031.1 17'
'DAOWOF01 sp030642205|cold seep|GB GCA 030642205.1|DAOWOF010000073.1 2'
'NaphS2 sp000179315|none|GB GCA 000179315.1|ADZZ01000138.1 15'
'JAUWMJ01 sp030612225|cold seep|GB GCA 030612225.1|JAUWOH010000014.1 6'
'B13-G4 sp030272815|ANME_SRB_aggregate_methane_seep|GB_GCA_030272815.1|JAJSZT010000040.1_16'
'B13-G4 sp030262795|Microbial mat found along with Parougia  at an active site with methane bubbling in the Santa Monica Mounds in a location called  Mound 800 . Sample# is 14434.|GB GCA 030262795.1|JAJSZO010000038.1 8'
'Desulfatitalea tepidiphila|none|RS GCF 001293685.1|NZ BCAG01000005.1 116'
'Desulfamplus magnetovallimortis|none|RS GCF 900170035.1|NZ LT828541.1 362'
'AUK324 sp030837545|urban river|GB GCA 030837545.1|JAUPKI010000165.1 8'
'Desulfosarcina ovata|water phase of oil tank|RS GCF 009689005.1|NZ AP021879.1 5395'
'Desulfonema B ishimotonii|marine sediment|RS GCF 003851005.1|NZ BEXT01000001.1 2734'
'SURF-3 sp030145385|marine sediment|GB GCA 030145385.1|JAQYVU010000001.1 151'
'Desulfonema limicola|anoxic marine sediment|RS GCF 017377355.1|NZ CP061799.1 5162'
'Desulfatitalea sp000961655|Opalinus Clay rock porewater BRC-3 borehole|GB GCA 000961655.1|LADR01000085.1 11'
'DYJE01 sp020723285|groundwater filtered on filters|GB GCA 020723285.1|DYJE01000004.1 158'
'Desulfobotulus mexicanus|sediment of an alkaline crater lake|RS GCF 006175995.1|NZ VDMB01000009.1 15'
'Desulforegula conservatrix|none|RS GCF 000426225.1|NZ AUEY01000015.1 19'
'JAAELO01 sp024226555|marine sediment|GB GCA 024226555.1|JAAELO010000714.1 34'
'Desulfoluna limicola|sediment|RS GCF 021654575.1|NZ AP024488.1 1563'
'SZUA-423 sp003246895|marine hydrothermal sulfide sediment TVG12|GB GCA 003246895.1|QKCL01000069.1 14'
'Megalodesulfovibrio gigas|water|RS GCF 000468495.1|NC 022444.1 1199'
'Desulfohalovibrio alkalitolerans|metal coupon in corrosion monitoring reactor in District Heating Plant|RS GCF 000422245.1|NZ ATHI01000027.1 73'
'Desulfonatronum sp007127655|hypersaline soda lake sediment|GB GCA 007127655.1|SKYX01000079.1 12'
'Alteridesulfovibrio inopinatus|none|RS GCF 000429305.1|NZ AUBP01000007.1 118'
'CAILNX01 sp903835685|lake water|GB GCA 903835685.1|CAILNX010000043.1 127'
'UBA6079 sp002428705|waste water|GB GCA 002428705.1|DIXN01000004.1 67'
'JAKOSX01 sp029776595|thermophilic anaerobic digester|GB GCA 029776595.1|JAKOSX010000085.1 12'
'UBA10428 sp016938235|freshwater|GB GCA 016938235.1|JAFGVA010000017.1 27'
'JAKPQD01 sp029572965|mesophilic anaerobic digester|GB GCA 029572965.1|JAKPQD010000143.1 112'
'CAMDBI01 sp945889005|Freshwater lake|GB GCA 945889005.1|CAMDBI010000027.1 26'
'Cfx3-03 sp013390605|Ca. Chlorohelix allophototropha enrichment  subculture 15  a non-axenic enrichment culture of water from the upper anoxic zone  3.875 m depth  of a Boreal Shield lake|GB GCA 013390605.1|JACAUB010000001.1 2216'
'JAAFHG01 sp947378615|mesocosm experiment|GB GCA 947378615.1|CANCKV010000001.1 13'
'CSBR16-88 sp007116145|hypersaline soda lake brine|GB GCA 007116145.1|SKJB01000067.1 16'
'NBML01 sp022712835|deep sea mooring chain biofilm|GB GCA 022712835.1|JAFLJU010000546.1 4'
'JAHITE01 sp018817165|Aspo HRL|GB GCA 018817165.1|JAHITY010000070.1 33'
'UBA11346 sp017302815|activated sludge|GB GCA 017302815.1|JAFLCQ010000007.1 5'
'Pontiella sp016937035|freshwater|GB GCA 016937035.1|JAFGWS010000047.1 26'
'NBLH01 sp029210905|pool on the surface of a mud volcano|GB GCA 029210905.1|JARGGF010000040.1 6'
'MWCJ01 sp029266015|native outdoor hot spring sediment|GB GCA 029266015.1|JAJUFK010000041.1 16'
'JADFXV01 sp015233395|sediments|GB GCA 015233395.1|JADFXV010000031.1 16'
'Holophaga foetida|black anoxic freshwater mud  Germany|RS GCF 000242615.2|NZ KI912268.1 870'
'Natronoflexus saponilacus|none|RS GCF 900168165.1|NZ FUYV01000010.1 58'
'Azobacteroides pseudotrichonymphae A|a single cell of termite  Prorhinotermes japonicus termite  gut protis|GB GCA 002091395.1|AP017913.1 201'
'Microbacter sp009712605|iron-reducing culture derived from a small water body in an iron ore region|RS GCF 009712605.1|NZ WASO01000010.1 170'
'Paludibacter sp028692715|NEUS D2 leachate from a leachate well at an active municipal landfill in the North Eastern United States|GB GCA 028692715.1|JAQUWU010000019.1 57'
'Prevotella oryzae|none|RS GCF 000585355.1|NZ KK073873.1 2552'
'Prevotella cerevisiae|brewery wastewater|RS GCF 024054555.1|NZ JAMXLY010000014.1 1'
'JAFGRW01 sp027858855|high Arctic cold saline sulfur spring anaerobic sediment|GB GCA 027858855.1|JAQIBV010000054.1 106'
'JAFGRV01 sp016934975|Freshwater Sediment|GB GCA 016934975.1|JAFGRV010000395.1 22'
'OXYB2-FULL-49-7 sp001800515|Rifle well CD01 at 16ft depth  0.2 micron filter at time point B|GB GCA 001800515.1|MGVN01000251.1 7'
'Thiospirochaeta sp003247135|marine hydrothermal sulfide sediment TVG12|GB GCA 003247135.1|QKAW01000031.1 15'
'Oceanispirochaeta sp028532905|water|GB GCA 028532905.1|JAQQAM010000057.1 22'
'Sediminispirochaeta smaragdinae|oil field|RS GCF 000143985.1|NC 014364.1 2995'
'SLAA01 sp007695055|alkaline salt lake|GB GCA 007695055.1|REEM01000134.1 18'
'JAEWLI01 sp023393375|feces|GB GCA 023393375.1|JAEWLI010000011.1 12'
'JAFGJZ01 sp016928815|Freshwater Sediment|GB GCA 016928815.1|JAFGJZ010000012.1 34'
'Chitinispirillum sp007115975|hypersaline soda lake brine|GB GCA 007115975.1|SKJJ01000113.1 2'
'JAADGP01 sp027021785|marine hydrothermal vent|GB GCA 027021785.1|JALUTR010000086.1 24'
'Aadella sp023142805|deep sea sediment|GB GCA 023142805.1|JAGLIU010000205.1 4'
'JAGLHV01 sp030595925|cold seep|GB GCA 030595925.1|JAUVLC010000007.1 24'
'JAHFSX01 sp025360845|sediment|GB GCA 025360845.1|JANYBJ010000085.1 25'
'JAFGXT01 sp016936495|freshwater|GB GCA 016936495.1|JAFGXT010000019.1 4'
'SZUA-371 sp003246475|marine hydrothermal sulfide sediment TVG12|GB GCA 003246475.1|QKAL01000020.1 13'
'JANQGG01 sp028277445|Coral skeleton|GB GCA 028277445.1|JANQGG010000018.1 2'
'JAFGXQ01 sp016935665|Freshwater Sediment|GB GCA 016935665.1|JAFGQN010000244.1 65'
'JAFGDW01 sp016931935|Freshwater Sediment|GB GCA 016931935.1|JAFGDW010000180.1 32'
'SZUA-368 sp003246505|marine hydrothermal sulfide sediment TVG12|GB GCA 003246505.1|QKAI01000063.1 4'
'JAEYGI01 sp023402395|feces|GB GCA 023402395.1|JAEYGI010000040.1 410'
'UBA8346 sp003501365|soil|GB GCA 003501365.1|DNPP01000068.1 28'
'JAAUQL01 sp012033595|Stromatolite|GB GCA 012033595.1|JAAUQL010000095.1 12'
'Lutibacter sp004121075|sediment|RS GCF 004121075.1|NZ RHLN01000159.1 34'
'JAAAOM01 sp009908855|Microbial Mat|GB GCA 009908855.1|JAAAOM010000072.1 2'
'Lenti-02 sp001603055|3 replicate cellulose-degrading anaerobic digesters sampled at day 96 and day 362|GB GCA 001603055.1|LVAZ01000212.1 12'
'Chlorobaculum sp001602925|3 replicate cellulose-degrading anaerobic digesters sampled at day 96 and day 362|GB GCA 001602925.1|LUZT01000011.1 96'
'Solidesulfovibrio sp023417745|feces|GB GCA 023417745.1|JAEZEM010000192.1 17'
'Mangrovibacterium marinum|none|RS GCF 003046625.1|NZ QAAD01000014.1 51'
'Saccharicrinis sp024635555|saline spring sediment|GB GCA 024635555.1|JAGXIO010000085.1 11'
'SZUA-582 sp003251015|marine hydrothermal sulfide sediment TVG12|GB GCA 003251015.1|QKIO01000137.1 13'
'Labilibaculum manganireducens|marine sediment|RS GCF 002843385.1|NZ MVDE01000017.1 12'
'Carboxylicivirga sp025499605|coastal sediment|RS GCF 025499605.1|NZ JAFMVC010000015.1 61'
'Marinilabilia sp016278715|brine fluids|RS GCF 016278715.1|NZ JADQBH010000117.1 7'
'UBA6024 sp937915865|metagenome|GB GCA 937915865.1|CALGIG010000108.1 16'
'Sunxiuqinia sp024635605|saline spring sediment|GB GCA 024635605.1|JAGXIR010000054.1 12'
'JABMQB01 sp013152355|Deepsea hydrothermal sulfide chimney|GB GCA 013152355.1|JAADGO010000050.1 15'
'JAADIA01 sp013151555|Deepsea hydrothermal sulfide chimney|GB GCA 013151555.1|JAADIA010000013.1 4'
'JACQWU01 sp016209155|groundwater|GB GCA 016209155.1|JACQWU010000204.1 3'
'Thermoanaerobacterium thermosaccharolyticum|none|RS GCF 000145615.1|NC 014410.1 1865'
'Mahella sp020054945|produced fluids from hydraulically fractured shales|RS GCF 020054945.1|NZ JAIHAU010000030.1 15'
'JAMCWL01 sp023481285|Fankou acid mine drainage sediment Core B|GB GCA 023481285.1|JAMCWL010000089.1 6'
'Carboxydocella sporoproducens|none|RS GCF 900167165.1|NZ FUXM01000011.1 31'
'VENG01 sp016278505|brine fluids|GB GCA 016278505.1|JADQBQ010000019.1 99'
'JAJZSN01 sp021849745|acid mine drainage sediment|GB GCA 021849745.1|JAJZSN010000031.1 24'
'JAJXUE01 sp021783135|acid mine drainage sediment|GB GCA 021783135.1|JAJXUE010000011.1 36'
'UBA2595 sp022735835|groundwater filtered on filters|GB GCA 022735835.1|DYZU01000096.1 28'
'Desulforadius sp009711615|MES reactor inoculated with Red Sea brine pool sample|GB GCA 009711615.1|VENI01000005.1 308'
'DUNV01 sp016841605|marine sediment|GB GCA 016841605.1|JAENYV010000001.1 349'
'Desulfotomaculum reducens|none|RS GCF 000016165.1|NC 009253.1 3002'
'Desulfurispora thermophila|none|RS GCF 000376385.1|NZ AQWN01000004.1 179'
'Pelotomaculum D isophthalicicum|methanogenic sludge treating industrial wastewater|RS GCF 029478095.1|NZ JAKOAV010000020.1 52'
'MVRN01 sp002067965|Lab-scale methanogenic bioreactor treating purified terephthalic acid process wastewater|GB GCA 002067965.1|MVRN01000118.1 10'
'Desulfocucumis sp000961595|Opalinus Clay rock porewater BRC-3 borehole|GB GCA 000961595.1|LADO01000055.1 78'
'Desulfallas sp015594625|microbial mats associated with deep thermal groundwater borehole|RS GCF 015594625.1|NZ JADNRQ010000006.1 107'
'Contubernalis alkalaceticum|Khadyn soda lake  Tyva Republic  Russia|RS GCF 022558445.1|NZ CP054699.1 2251'
'JAAYJK01 sp016841245|marine sediment|GB GCA 016841245.1|JAENZN010000005.1 115'
'DTU019 sp002398825|mud|GB GCA 002398825.1|DHBS01000007.1 83'
'Ch109 sp013178275|2.8-km deep subsurface aquifer|GB GCA 013178275.1|JABLWZ010000015.1 43'
'BRHc4a sp000802095|Opalinus Clay rock|GB GCA 000802095.1|JUEB01000015.1 21'
'Desulfofarcimen acetoxidans|none|RS GCF 000024205.1|NC 013216.1 986'
'Methanocella A arvoryzae|none|RS GCF 000063445.1|NC 009464.1 1403'
'PGCK01 sp021023085|marine sediment|RS GCF 021023085.1|NZ PGCK01000003.1 111'
'Anaerospora hongkongensis|none|RS GCF 004339805.1|NZ SLUI01000005.1 202'
'JASKKI01 sp030154225|Produced fluids from hydraulically fractured shales|GB GCA 030154225.1|JASKKI010000005.1 60'
'JAFGUR01 sp017988045|wastewater|GB GCA 017988045.1|JAGNSM010000017.1 22'
'Methanoregula sp030653335|groundwater|GB GCA 030653335.1|JAURZP010000061.1 17'
'SKKY01 sp007123515|hypersaline soda lake sediment|GB GCA 007123515.1|SKKY01000061.1 8'
'Anaerosporomusa subterranea|saprolite core|RS GCF 001611555.1|NZ LSGP01000001.1 112'
'BIFV01 sp003990955|none|GB GCA 003990955.1|BIFV01000005.1 12'
'CTSoil-081 sp017889725|wetland soil|GB GCA 017889725.1|JAGGAE010000064.1 7'
'Thermanaerosceptrum fracticalcis|none|RS GCF 000746025.2|NZ CP045798.1 388'
'Methanospirillum lacunae|soil|RS GCF 003173355.1|NZ QGMY01000002.1 550'
'CTSoil-072 sp017889545|wetland soil|GB GCA 017889545.1|JAGFZV010000013.1 61'
'Gracilibacter sp001516055|Opalinus Clay rock porewater BRC-3 borehole|GB GCA 001516055.1|LOEZ01000019.1 90'
'UMGS1260 sp900550105|human gut|GB GCA 900550105.1|URQW01000020.1 13'
'Methanocorpusculum petauri|fecal sample|RS GCF 026891975.1|NZ JAPTGB010000021.1 28'
'JANQEB01 sp028281965|Coral skeleton|GB GCA 028281965.1|JANQIY010000092.1 63'
'Defluviitalea phaphyphila|marine sediment|RS GCF 001466305.1|NZ JWID01000003.1 205'
'Pseudoclostridium thermosuccinogenes|beet pulp  sugar refinery|RS GCF 002896855.1|NZ CP021850.1 1009'
