'PALSA-1353 sp963783845 | nif | GB GCA 963783845.1 | CAWAPL010000015.1 16'
'SZUA-371 sp003246475 | nif | GB GCA 003246475.1 | QKAL01000020.1 13'
'JAHFSX01 sp023269675 | nif | GB GCA 023269675.1 | JAHFSX010000025.1 8'
'CAITYL01 sp041651315 | nif | GB GCA 041651315.1 | JBAZJM010000022.1 5'
'CAIRNS01 sp049508565 | nif | GB GCA 049508565.1 | JBELAT010000145.1 6'
'XYB2-FULL-50-12 sp001800355 | nif | GB GCA 001800355.1 | MGVF01000039.1 6'
'GWB1-36-13 sp001829155 | nif | GB GCA 001829155.1 | MIAO01000074.1 30'
'JAFGVO01 sp016937935 | nif | GB GCA 016937935.1 | JAFGVO010000460.1 1'
'Saccharicrinis sp963677245 | nif | GB GCA 963677245.1 | OY781921.1 3484'
'UBA5342 sp965662645 | nif | GB GCA 965662645.1 | CBFIII010000022.1 24'
'JBHJHP01 sp042219825 | nif | RS GCF 042219825.1 | NZ JBHJHQ010000009.1 138'
'Mangrovibacterium lignilyticum | nif | RS GCF 010882175.1 | NZ WKLH01000003.1 665'
'Mangrovibacterium marinum | nif | RS GCF 003046625.1 | NZ QAAD01000014.1 51'
'Breznakibacter sp047600785 | nif | GB GCA 047600785.1 | JASGKH010000002.1 1951'
'Marinilabilia sp016278715 | nif | RS GCF 016278715.1 | NZ JADQBH010000117.1 7'
'Sunxiuqinia sp963677175 | nif | GB GCA 963677175.2 | CAXXES010000003.1 204'
'Draconibacterium sp041737765 | nif | GB GCA 041737765.1 | JBGSRA010000096.1 18'
'JABMQB01 sp013152355 | nif | GB GCA 013152355.1 | JAADGO010000050.1 15'
'Sunxiuqinia sp965230765 | nif | GB GCA 965230765.1 | CBDDLR010000001.1 326'
'Prosthecochloris sp015482705 | nif | RS GCF 015482705.1 | NZ JADMLA020000022.1 101'
'Solidesulfovibrio sp023426275 | nif | GB GCA 023426275.1 | JAFABC010000259.1 10'
'Desulfolutivibrio sulfoxidireducens | nif | RS GCF 013376475.1 | NZ CP045508.1 2571'
'Oceanispirochaeta sp002408085 | nif | GB GCA 002408085.1 | DHQL01000018.1 134'
'JAFGRV01 sp016934975 | nif | GB GCA 016934975.1 | JAFGRV010000395.1 22'
'Desulfocurvibacter sp023411815 | nif | GB GCA 023411815.1 | JAEYOJ010000070.1 5'
'UBA6079 sp002428705 | nif | GB GCA 002428705.1 | DIXN01000004.1 67'
'JBNKEI01 sp050288705 | nif | GB GCA 050288705.1 | JBNKEI010000125.1 5'
'Megalodesulfovibrio gigas | nif | RS GCF 000468495.1 | NC 022444.1 1199'
'JAGVGH01 sp020057225 | nif | GB GCA 020057225.1 | JAGVGH010000044.1 7'
'Alteridesulfovibrio sp963668395 | nif | GB GCA 963668395.2 | CAXXPF010000003.1 276'
'JADFXV01 sp015233395 | nif | GB GCA 015233395.1 | JADFXV010000031.1 16'
'Sediminispirochaeta smaragdinae | nif | RS GCF 000143985.1 | NC 014364.1 2995'
'Alkalidesulfovibrio sp000422205 | nif | RS GCF 000422205.1 | NZ ATHV01000020.1 10'
'Desulfohalovibrio reitneri | nif | RS GCF 000711295.1 | NZ JOMJ01000003.1 1754'
'CAZUBS01 sp964594925 | nif | GB GCA 964594925.1 | CAZQOG010000061.1 6'
'SZUA-368 sp003246505 | nif | GB GCA 003246505.1 | QKAI01000063.1 4'
'Holophaga sp017859955 | nif | GB GCA 017859955.1 | JAFNAB010000032.1 19'
'Spirochaeta B sp964486425 | nif | GB GCA 964486425.1 | CAZANF010000083.1 4'
'Spirochaeta B sp964509515 | nif | GB GCA 964509515.1 | CAZDYA010000030.1 12'
'SZUA-423 sp003246895 | nif | GB GCA 003246895.1 | QKCL01000069.1 14'
'JANQQN01 sp028289325 | nif | GB GCA 028289325.1 | JANQQN010000557.1 17'
'UBA6053 sp002429065 | nif | GB GCA 002429065.1 | DIYN01000019.1 87'
'PXAS01 sp003565035 | nif | GB GCA 003565035.1 | PXDP01000002.1 5'
'JAAYAY01 sp963674575 | nif | GB GCA 963674575.2 | CAXXQT010000009.1 541'
'JAJRVM01 sp041752115 | nif | GB GCA 041752115.1 | JBGSHS010000183.1 7'
'PWXP01 sp964414315 | nif | GB GCA 964414315.1 | CAYPWB010000143.1 3'
'G963677085 sp963677085 | nif | GB GCA 963677085.2 | CAXXFH010000004.1 2719'
'DAOPYU01 sp942493245 | nif | GB GCA 942493245.1 | OW818685.1 2062'
'FW602-bin16 sp004297765 | nif | GB GCA 004297765.1 | SCTZ01000199.1 10'
'Dehalogenimonas sp001005265 | nif | GB GCA 001005265.1 | CP011392.1 604'
'UBA5070 sp035352895 | nif | GB GCA 035352895.1 | DAOPYN010000007.1 63'
'CAYWYC01 sp964462565 | nif | GB GCA 964462565.1 | CAYWYC010000130.1 4'
'JAEWRL01 sp023398955 | nif | GB GCA 023398955.1 | JAEWRL010000147.1 45'
'CAYONM01 sp964405325 | nif | GB GCA 964405325.1 | CAYONM010000098.1 13'
'SLQH01 sp041641915 | nif | GB GCA 041641915.1 | JBEPXK010000013.1 12'
'REDP01 sp007695355 | nif | GB GCA 007695355.1 | REDX01000195.1 9'
'CAITNO01 sp903822375 | nif | GB GCA 903822375.1 | CAIJOU010000740.1 2'
'Hinthialibacter sp964556895 | nif | GB GCA 964556895.1 | CAZKYC010000067.1 11'
'CAZWCE01 sp964632505 | nif | GB GCA 964632505.1 | CAZWCE010000004.1 110'
'CAYWLQ01 sp050304755 | nif | GB GCA 050304755.1 | JBNLED010000186.1 43'
'CAWBRF01 sp963791075 | nif | GB GCA 963791075.1 | CAWBRF010000033.1 178'
'CAYWGR01 sp964458015 | nif | GB GCA 964458015.1 | CAYWGR010000075.1 5'
'CALFBP01 sp964430315 | nif | GB GCA 964430315.1 | CAYSGY010000027.1 13'
'JBDKTH01 sp039680305 | nif | GB GCA 039680305.1 | JBDKTH010001341.1 7'
'CALARR01 sp937889015 | nif | GB GCA 937889015.1 | CALARR010000214.1 45'
'CAYOCT01 sp964402555 | nif | GB GCA 964402555.1 | CAYOCT010000022.1 71'
'JAFANO01 sp963803395 | nif | GB GCA 963803395.1 | CAWDND010000007.1 16'
'CAWHUG01 sp963832405 | nif | GB GCA 963832405.1 | CAWHUG010000015.1 234'
'CAJVYK01 sp913009355 | nif | GB GCA 913009355.1 | CAJVYN010000085.1 8'
'JADJPE01 sp016713425 | nif | GB GCA 016713425.1 | JADJPE010000005.1 5303'
'CAYMOV01 sp964392085 | nif | GB GCA 964392085.1 | CAYMOV010000021.1 22'
'TOLSYN sp963838135 | nif | GB GCA 963838135.1 | CAWIPV010000008.1 1246'
'Telmatobacter sp963810515 | nif | GB GCA 963810515.1 | CAWENG010000005.1 698'
'Telmatobacter sp963848805 | nif | GB GCA 963848805.1 | CAWKFD010000029.1 23'
'CAWBRT01 sp050015355 | nif | GB GCA 050015355.1 | JBEKBO010000054.1 2'
'CAWINY01 sp963837635 | nif | GB GCA 963837635.1 | CAWINY010000004.1 391'
'Acidiflorens sp963775845 | nif | GB GCA 963775845.1 | CAVZKN010000003.1 257'
'CAWBRT01 sp963791145 | nif | GB GCA 963791145.1 | CAWBRT010000019.1 12'
'JAEZPW01 sp963777415 | nif | GB GCA 963777415.1 | CAVZQL010000001.1 676'
'JAEZPW01 sp023410055 | nif | GB GCA 023410055.1 | JAEYQK010000101.1 18'
'CAZJJN01 sp964546335 | nif | GB GCA 964546335.1 | CAZJJN010000002.1 3'
'Novipirellula A aureliae | nif | RS GCF 007860185.1 | NZ SJPY01000001.1 314'
'UBA7800 sp020974905 | nif | GB GCA 020974905.1 | CP087563.1 4211'
'Zrk34 sp014873095 | nif | GB GCA 014873095.1 | CP050848.1 1508'
'Crateriforma conspicua | nif | RS GCF 007752935.1 | NZ CP036319.1 2418'
'JAFGDI01 sp963667715 | nif | GB GCA 963667715.1 | OY763926.1 297'
'G963663805 sp963663805 | nif | GB GCA 963663805.2 | CAXXMR010000002.1 59'
'4572-13 sp963675155 | nif | GB GCA 963675155.1 | OY775912.1 1044'
'JBITAJ01 sp044440125 | nif | GB GCA 044440125.1 | JBITAJ010000029.1 288'
'CAZXSK01 sp964642855 | nif | GB GCA 964642855.1 | CAZXSK010000006.1 4'
'CAZFPT01 sp046541875 | nif | GB GCA 046541875.1 | JBKHCL010000005.1 34'
'SZUA-421 sp003245715 | nif | GB GCA 003245715.1 | QKCJ01000049.1 162'
'Desulfocapsa sp050291935 | nif | GB GCA 050291935.1 | JBNKKR010000041.1 23'
'Desulfopila sp010646885 | nif | RS GCF 010646885.2 | NZ CP050700.1 4209'
'Desulforhopalus A sp002733995 | nif | GB GCA 002733995.1 | NVXR01000005.1 140'
'Desulfofustis sp964433645 | nif | GB GCA 964433645.1 | CAYSSK010000039.1 6'
'UBA2270 sp903887485 | nif | GB GCA 903887485.1 | CAISPV010000119.1 25'
'BMS3Abin13 sp002897615 | nif | GB GCA 002897615.1 | BDTX01000021.1 40'
'JBFMBH01 sp040755095 | nif | GB GCA 040755095.1 | JBFMBH010000134.1 2'
'Desulfobulbus alkaliphilus | nif | RS GCF 016918545.1 | NZ JAFFQC010000020.1 60'
'JBDLIC01 sp039715075 | nif | GB GCA 039715075.1 | JBDLIC010000007.1 38'
'Desulfurivibrio sp034522365 | nif | GB GCA 034522365.1 | JAXHLI010000012.1 191'
'JAHLLM01 sp030667965 | nif | GB GCA 030667965.1 | DAOUUW010000032.1 5'
'Desulfocapsa sp947311475 | nif | GB GCA 947311475.1 | CAMZLK010000198.1 3'
'Thermodesulfomicrobium sp027925145 | nif | RS GCF 027925145.1 | NZ AP027130.1 791'
'JACKCP01 sp020633955 | nif | GB GCA 020633955.1 | JACKCP010000019.1 7'
'JBFWMG01 sp050251715 | nif | GB GCA 050251715.1 | JBFWMG010000024.1 55'
'SpSt-501 sp016219005 | nif | GB GCA 016219005.1 | JACRCN010000010.1 12'
'Desulfoferula sp021737645 | nif | GB GCA 021737645.1 | JAIPDO010000010.1 16'
'Humidesulfovibrio sp030824035 | nif | GB GCA 942493355.1 | OW818696.1 731'
'Nitratidesulfovibrio vulgaris | nif | RS GCF 000195755.1 | NC 005863.1 15'
'Cupidesulfovibrio sp022837365 | nif | RS GCF 036763125.1 | NZ JBAIYT010000026.1 10'
'JASGMV01 sp030156255 | nif | GB GCA 030156255.1 | JASGMV010000058.1 1'
'CAYTSA01 sp964440345 | nif | GB GCA 964440345.1 | CAYTSA010000003.1 80'
'CAZBUB01 sp964494985 | nif | GB GCA 964494985.1 | CAZBUB010000022.1 21'
'JAFGRU01 sp963665915 | nif | GB GCA 963665915.2 | CAXXSG010000003.1 240'
'Anaeroglomus sp964630775 | nif | GB GCA 964630775.1 | CAZVYY010000024.1 16'
'CAYMGG01 sp964389915 | nif | GB GCA 964389915.1 | CAYMGG010000128.1 15'
'CAZFPT01 sp964521005 | nif | GB GCA 964521005.1 | CAZFPT010000037.1 17'
'CAIPEB01 sp903863885 | nif | GB GCA 903863885.1 | CAIPEB010000462.1 19'
'JANYKD01 sp025361735 | nif | GB GCA 025361735.1 | JANYKD010000055.1 60'
'JADZCD01 sp020851735 | nif | GB GCA 020851735.1 | JADZCD010000028.1 29'
'JAJXSS01 sp964427135 | nif | GB GCA 964427135.1 | CAYRTH010000011.1 16'
'JAAYCU01 sp012729595 | nif | GB GCA 012729595.1 | JAAYCU010000081.1 4'
'Fen-1064 sp003153955 | nif | GB GCA 003153955.1 | PMCB01000075.1 16'
'UBA5627 sp034429935 | nif | GB GCA 034429935.1 | DAOUFJ010000017.1 20'
'Aquincolibacterium sp043803685 | nif | GB GCA 043803685.1 | JAZDJU010000040.1 95'
'CAZASC01 sp964487695 | nif | GB GCA 964487695.1 | CAZASC010000010.1 49'
'GWF2-57-35 sp001804865 | nif | GB GCA 001804865.1 | MHBK01000027.1 28'
'GWF2-50-93 sp001804815 | nif | GB GCA 001804815.1 | MHBI01000031.1 4'
'CAYTFM01 sp964436735 | nif | GB GCA 964436735.1 | CAYTFM010000207.1 5'
'G963664225 sp964538065 | nif | GB GCA 964538065.1 | CAZIDG010000072.1 9'
'CAIUEN01 sp903898185 | nif | GB GCA 903898185.1 | CAIUEN010000270.1 6'
'CAVQND01 sp964653485 | nif | GB GCA 964653485.1 | CAZZFF010000002.1 58'
'CAYPNF01 sp964411985 | nif | GB GCA 964411985.1 | CAYPNF010000002.1 8'
'UBA11358 sp035504945 | nif | GB GCA 035504945.1 | DATJRH010000015.1 151'
'JAIRPN01 sp031256975 | nif | GB GCA 031256975.1 | JAIRPN010000010.1 28'
'J093 sp024233215 | nif | GB GCA 024233215.1 | JACKPW010000028.1 48'
'DASWVO01 sp036406235 | nif | GB GCA 036406235.1 | DASWVO010000374.1 3'
'MWDT01 sp021782105 | nif | GB GCA 021782105.1 | JAJXVO010000114.1 10'
'Lentimonas sp902728235 | nif | RS GCF 902728235.1 | NZ CACVBO010000001.1 215'
'WOUP01 sp009772895 | nif | GB GCA 009772895.1 | WOUP01000008.1 46'
'JAOAAX01 sp026418675 | nif | GB GCA 026418675.1 | JAOAAX010000058.1 4'
'Luteolibacter sp903875675 | nif | GB GCA 903875675.1 | CAIQXC010000936.1 5'
'Pelagicoccus sp050289505 | nif | GB GCA 050289505.1 | JBNKFW010000001.1 131'
'Puniceicoccus sp046541615 | nif | GB GCA 046541615.1 | JBKHCX010000116.1 8'
'Puniceicoccus sp964492605 | nif | GB GCA 964492605.1 | CAZBLJ010000005.1 6'
'Cerasicoccus frondis | nif | RS GCF 031296915.1 | NZ JAVDPC010000013.1 85'
'Thalassobacterium maritimum | nif | RS GCF 031127805.1 | NZ JARXHW010000028.1 36'
'JAIUMY01 sp022565335 | nif | GB GCA 022565335.1 | JAIUMY010000064.1 14'
'WOUP01 sp030673845 | nif | GB GCA 030673845.1 | JAUTCQ010000012.1 26'
'JAFGAQ01 sp028704125 | nif | GB GCA 028704125.1 | JAQVLM010000042.1 4'
