query_id,genome,contig,operon,cluster,gene,start,end,orientation
CP001622.1_2222,GB_GCA_000023185.1,CP001622.1,1,nif,K07006,2248235.0,2248846.0,-1.0
CP001622.1_2225,GB_GCA_000023185.1,CP001622.1,1,nif,Y4337_RHIME,2250383.0,2251573.0,-1.0
CP001622.1_2222,GB_GCA_000023185.1,CP001622.1,1,nif,K07006,2248235.0,2248846.0,-1.0
CP001622.1_2223,GB_GCA_000023185.1,CP001622.1,1,nif,WP_012757723.1,2248884.0,2249864.0,-1.0
CP001622.1_2224,GB_GCA_000023185.1,CP001622.1,1,nif,WP_003540261.1,2249912.0,2250379.0,1.0
CP001622.1_2225,GB_GCA_000023185.1,CP001622.1,1,nif,WP_012757724.1,2250383.0,2251573.0,-1.0
CP001622.1_2226,GB_GCA_000023185.1,CP001622.1,1,nif,WP_032996649.1,2251633.0,2252010.0,-1.0
CP001622.1_2229,GB_GCA_000023185.1,CP001622.1,1,nif,ABC.FEV.S,2254244.0,2255380.0,1.0
CP001623.1_279,GB_GCA_000023185.1,CP001623.1,1,nif,fixC,304615.0,305922.0,-1.0
CP001623.1_277,GB_GCA_000023185.1,CP001623.1,1,nif,nifA,303029.0,304111.0,-1.0
CP001623.1_272,GB_GCA_000023185.1,CP001623.1,1,nif,ABC-2.A,298242.0,299270.0,1.0
CP001623.1_271,GB_GCA_000023185.1,CP001623.1,1,nif,nodC,296931.0,298211.0,1.0
CP001623.1_276,GB_GCA_000023185.1,CP001623.1,1,nif,nifB,301314.0,302786.0,-1.0
CP001623.1_273,GB_GCA_000023185.1,CP001623.1,1,nif,NODJ_RHILT,299267.0,300055.0,1.0
CP001623.1_274,GB_GCA_000023185.1,CP001623.1,1,nif,FIXU_RHILT,300689.0,300901.0,-1.0
CP001623.1_275,GB_GCA_000023185.1,CP001623.1,1,nif,FDXN_RHILT,301086.0,301280.0,-1.0
CP001623.1_278,GB_GCA_000023185.1,CP001623.1,1,nif,FIXX_RHILT,304306.0,304602.0,-1.0
CP001623.1_280,GB_GCA_000023185.1,CP001623.1,1,nif,FIXB_SINFN,305933.0,307045.0,-1.0
CP001623.1_273,GB_GCA_000023185.1,CP001623.1,1,nif,nodJ,299267.0,300055.0,1.0
CP001623.1_274,GB_GCA_000023185.1,CP001623.1,1,nif,nifT,300689.0,300901.0,-1.0
CP001623.1_275,GB_GCA_000023185.1,CP001623.1,1,nif,WP_082928173.1,301086.0,301280.0,-1.0
CP001623.1_278,GB_GCA_000023185.1,CP001623.1,1,nif,fixX,304306.0,304602.0,-1.0
CP001623.1_280,GB_GCA_000023185.1,CP001623.1,1,nif,etfA,305933.0,307045.0,-1.0
CP001623.1_279,GB_GCA_000023185.1,CP001623.1,2,nif,fixC,304615.0,305922.0,-1.0
CP001623.1_277,GB_GCA_000023185.1,CP001623.1,2,nif,nifA,303029.0,304111.0,-1.0
CP001623.1_284,GB_GCA_000023185.1,CP001623.1,2,nif,nifK,311031.0,312563.0,1.0
CP001623.1_283,GB_GCA_000023185.1,CP001623.1,2,nif,nifD,309442.0,310953.0,1.0
CP001623.1_285,GB_GCA_000023185.1,CP001623.1,2,nif,nifE,312638.0,314059.0,1.0
CP001623.1_280,GB_GCA_000023185.1,CP001623.1,2,nif,lctC,305933.0,307045.0,-1.0
CP001623.1_286,GB_GCA_000023185.1,CP001623.1,2,nif,nifN,314065.0,315396.0,1.0
CP001623.1_278,GB_GCA_000023185.1,CP001623.1,2,nif,FIXX_RHILT,304306.0,304602.0,-1.0
CP001623.1_281,GB_GCA_000023185.1,CP001623.1,2,nif,FIXA_SINFN,307062.0,307910.0,-1.0
CP001623.1_282,GB_GCA_000023185.1,CP001623.1,2,nif,NIFH_RHILT,308462.0,309349.0,1.0
CP001623.1_278,GB_GCA_000023185.1,CP001623.1,2,nif,fixX,304306.0,304602.0,-1.0
CP001623.1_281,GB_GCA_000023185.1,CP001623.1,2,nif,etfB,307062.0,307910.0,-1.0
CP001623.1_282,GB_GCA_000023185.1,CP001623.1,2,nif,nifH,308462.0,309349.0,1.0
CP001623.1_288,GB_GCA_000023185.1,CP001623.1,2,nif,WP_012755346.1,315785.0,316006.0,-1.0
CP001623.1_289,GB_GCA_000023185.1,CP001623.1,2,nif,lrp,316441.0,316635.0,-1.0
CP001623.1_290,GB_GCA_000023185.1,CP001623.1,2,nif,WP_012755347.1,316886.0,318145.0,-1.0
GL501401.1_9,GB_GCA_000152145.1,GL501401.1,1,nif,pyk,12240.0,13664.0,-1.0
GL501401.1_8,GB_GCA_000152145.1,GL501401.1,1,nif,bchX,10875.0,11696.0,-1.0
GL501401.1_11,GB_GCA_000152145.1,GL501401.1,1,nif,dnhA_B,14456.0,15109.0,-1.0
GL501401.1_5,GB_GCA_000152145.1,GL501401.1,1,nif,nifK,7048.0,8469.0,-1.0
GL501401.1_6,GB_GCA_000152145.1,GL501401.1,1,nif,nifD,8471.0,9910.0,-1.0
GL501401.1_7,GB_GCA_000152145.1,GL501401.1,1,nif,nifB,9928.0,10851.0,-1.0
GL501401.1_1,GB_GCA_000152145.1,GL501401.1,1,nif,WP_044199129.1,1.0,1974.0,-1.0
GL501401.1_2,GB_GCA_000152145.1,GL501401.1,1,nif,WP_006560617.1,1964.0,6010.0,-1.0
GL501401.1_3,GB_GCA_000152145.1,GL501401.1,1,nif,WP_129630008.1,6140.0,6406.0,-1.0
GL501401.1_4,GB_GCA_000152145.1,GL501401.1,1,nif,WP_044199135.1,6679.0,6888.0,-1.0
GL501401.1_10,GB_GCA_000152145.1,GL501401.1,1,nif,comEA,13673.0,14308.0,-1.0
GL501401.1_12,GB_GCA_000152145.1,GL501401.1,1,nif,tetR,15725.0,16393.0,-1.0
DS990592.1_4250,GB_GCA_000155695.1,DS990592.1,2,nif,pmmS,5268025.0,5269143.0,-1.0
DS990592.1_4261,GB_GCA_000155695.1,DS990592.1,2,nif,trpB,5281374.0,5282597.0,1.0
DS990592.1_4259,GB_GCA_000155695.1,DS990592.1,2,nif,nifA,5278737.0,5280359.0,1.0
DS990592.1_4258,GB_GCA_000155695.1,DS990592.1,2,nif,nifH,5277521.0,5278450.0,-1.0
DS990592.1_4256,GB_GCA_000155695.1,DS990592.1,2,nif,nifK,5274274.0,5275647.0,-1.0
DS990592.1_4253,GB_GCA_000155695.1,DS990592.1,2,nif,nifN,5270829.0,5272223.0,-1.0
DS990592.1_4260,GB_GCA_000155695.1,DS990592.1,2,nif,E3.1.1.120,5280392.0,5281237.0,-1.0
DS990592.1_4257,GB_GCA_000155695.1,DS990592.1,2,nif,nifD,5275678.0,5277342.0,-1.0
DS990592.1_4254,GB_GCA_000155695.1,DS990592.1,2,nif,nifE,5272220.0,5273626.0,-1.0
DS990592.1_4255,GB_GCA_000155695.1,DS990592.1,2,nif,bfr,5273684.0,5274178.0,-1.0
DS990592.1_4247,GB_GCA_000155695.1,DS990592.1,2,nif,nifJ,5263385.0,5266972.0,-1.0
DS990592.1_4252,GB_GCA_000155695.1,DS990592.1,2,nif,nifB,5269501.0,5270817.0,-1.0
DS990592.1_4248,GB_GCA_000155695.1,DS990592.1,2,nif,WP_185660073.1,5267020.0,5267478.0,-1.0
DS990592.1_4249,GB_GCA_000155695.1,DS990592.1,2,nif,WP_308983921.1,5267518.0,5268012.0,-1.0
DS990592.1_4251,GB_GCA_000155695.1,DS990592.1,2,nif,WP_308950843.1,5269146.0,5269457.0,-1.0
DS990592.1_4262,GB_GCA_000155695.1,DS990592.1,2,nif,WP_200358489.1,5282738.0,5283610.0,1.0
ADZZ01000138.1_10,GB_GCA_000179315.1,ADZZ01000138.1,1,nif,fumB,5128.0,6750.0,-1.0
ADZZ01000138.1_12,GB_GCA_000179315.1,ADZZ01000138.1,1,nif,nifA,7195.0,8730.0,1.0
ADZZ01000138.1_24,GB_GCA_000179315.1,ADZZ01000138.1,1,nif,sat3,20194.0,20694.0,1.0
ADZZ01000138.1_25,GB_GCA_000179315.1,ADZZ01000138.1,1,nif,frbC,20688.0,20819.0,1.0
ADZZ01000138.1_15,GB_GCA_000179315.1,ADZZ01000138.1,1,nif,vnfH,11029.0,11853.0,1.0
ADZZ01000138.1_17,GB_GCA_000179315.1,ADZZ01000138.1,1,nif,nifI2,12253.0,12633.0,1.0
ADZZ01000138.1_19,GB_GCA_000179315.1,ADZZ01000138.1,1,nif,nifK,14340.0,15716.0,1.0
ADZZ01000138.1_21,GB_GCA_000179315.1,ADZZ01000138.1,1,nif,nifN,17104.0,18468.0,1.0
ADZZ01000138.1_20,GB_GCA_000179315.1,ADZZ01000138.1,1,nif,nifE,15734.0,17101.0,1.0
ADZZ01000138.1_18,GB_GCA_000179315.1,ADZZ01000138.1,1,nif,nifD,12645.0,14318.0,1.0
ADZZ01000138.1_22,GB_GCA_000179315.1,ADZZ01000138.1,1,nif,nifB,18488.0,19750.0,1.0
ADZZ01000138.1_16,GB_GCA_000179315.1,ADZZ01000138.1,1,nif,GLNB1_METTM,11900.0,12256.0,1.0
ADZZ01000138.1_14,GB_GCA_000179315.1,ADZZ01000138.1,1,nif,WP_094329773.1,9044.0,10756.0,-1.0
ADZZ01000138.1_16,GB_GCA_000179315.1,ADZZ01000138.1,1,nif,nifI1,11900.0,12256.0,1.0
ADZZ01000138.1_23,GB_GCA_000179315.1,ADZZ01000138.1,1,nif,WP_155313030.1,19871.0,20176.0,1.0
ADZZ01000138.1_26,GB_GCA_000179315.1,ADZZ01000138.1,1,nif,WP_300463295.1,20866.0,21876.0,-1.0
CP007053.1_253,GB_GCA_000242935.3,CP007053.1,1,nif,QPRT,321369.0,322325.0,1.0
CP007053.1_255,GB_GCA_000242935.3,CP007053.1,1,nif,pmmS,322750.0,323883.0,-1.0
CP007053.1_259,GB_GCA_000242935.3,CP007053.1,1,nif,vnfH,327205.0,328029.0,1.0
CP007053.1_258,GB_GCA_000242935.3,CP007053.1,1,nif,draT,325931.0,326740.0,-1.0
CP007053.1_261,GB_GCA_000242935.3,CP007053.1,1,nif,vnfG,329899.0,330249.0,1.0
CP007053.1_260,GB_GCA_000242935.3,CP007053.1,1,nif,vnfD,328304.0,329884.0,1.0
CP007053.1_257,GB_GCA_000242935.3,CP007053.1,1,nif,E1.21.98.5,324227.0,325558.0,-1.0
CP007053.1_252,GB_GCA_000242935.3,CP007053.1,1,nif,cydD,320527.0,321357.0,1.0
CP007053.1_254,GB_GCA_000242935.3,CP007053.1,1,nif,WP_043581914.1,322419.0,322628.0,1.0
CP007053.1_196,GB_GCA_000242935.3,CP007053.1,3,nif,plsC,227147.0,227803.0,1.0
CP007053.1_201,GB_GCA_000242935.3,CP007053.1,3,nif,cmmF,233654.0,234322.0,1.0
CP007053.1_194,GB_GCA_000242935.3,CP007053.1,3,nif,aroA,224904.0,226265.0,1.0
CP007053.1_195,GB_GCA_000242935.3,CP007053.1,3,nif,cmk,226318.0,227037.0,1.0
CP007053.1_198,GB_GCA_000242935.3,CP007053.1,3,nif,nifH,229158.0,229982.0,1.0
CP007053.1_200,GB_GCA_000242935.3,CP007053.1,3,nif,nifK,232179.0,233555.0,1.0
CP007053.1_199,GB_GCA_000242935.3,CP007053.1,3,nif,nifD,230188.0,231966.0,1.0
CP007053.1_197,GB_GCA_000242935.3,CP007053.1,3,nif,draG,227870.0,228853.0,-1.0
CP007053.1_202,GB_GCA_000242935.3,CP007053.1,3,nif,feaR,234419.0,235273.0,-1.0
CP007053.1_193,GB_GCA_000242935.3,CP007053.1,3,nif,rayT,223771.0,224775.0,1.0
CP007053.1_255,GB_GCA_000242935.3,CP007053.1,5,anf,pmmS,322750.0,323883.0,-1.0
CP007053.1_266,GB_GCA_000242935.3,CP007053.1,5,anf,nifA,333731.0,335386.0,-1.0
CP007053.1_259,GB_GCA_000242935.3,CP007053.1,5,anf,vnfH,327205.0,328029.0,1.0
CP007053.1_262,GB_GCA_000242935.3,CP007053.1,5,anf,vnfK,330266.0,331651.0,1.0
CP007053.1_258,GB_GCA_000242935.3,CP007053.1,5,anf,draT,325931.0,326740.0,-1.0
CP007053.1_268,GB_GCA_000242935.3,CP007053.1,5,anf,oprO_P,336797.0,338296.0,1.0
CP007053.1_261,GB_GCA_000242935.3,CP007053.1,5,anf,vnfG,329899.0,330249.0,1.0
CP007053.1_260,GB_GCA_000242935.3,CP007053.1,5,anf,vnfD,328304.0,329884.0,1.0
CP007053.1_257,GB_GCA_000242935.3,CP007053.1,5,anf,NIFB_CHLTE,324227.0,325558.0,-1.0
CP007053.1_269,GB_GCA_000242935.3,CP007053.1,5,anf,YVGL_BACSU,338364.0,339140.0,1.0
CP007053.1_254,GB_GCA_000242935.3,CP007053.1,5,anf,WP_043581914.1,322419.0,322628.0,1.0
CP007053.1_257,GB_GCA_000242935.3,CP007053.1,5,anf,nifB,324227.0,325558.0,-1.0
CP007053.1_263,GB_GCA_000242935.3,CP007053.1,5,anf,WP_081722318.1,331823.0,332449.0,1.0
CP007053.1_264,GB_GCA_000242935.3,CP007053.1,5,anf,WP_232767720.1,332492.0,332986.0,1.0
CP007053.1_265,GB_GCA_000242935.3,CP007053.1,5,anf,WP_088179340.1,333024.0,333725.0,1.0
CP007053.1_267,GB_GCA_000242935.3,CP007053.1,5,anf,K07729,335618.0,336760.0,-1.0
CP007053.1_269,GB_GCA_000242935.3,CP007053.1,5,anf,modA,338364.0,339140.0,1.0
CM001438.1_1010,GB_GCA_000244995.1,CM001438.1,1,nif,chlL,1117873.0,1118754.0,-1.0
CM001438.1_1001,GB_GCA_000244995.1,CM001438.1,1,nif,tctC,1109705.0,1110691.0,-1.0
CM001438.1_1004,GB_GCA_000244995.1,CM001438.1,1,nif,OGT,1112245.0,1113639.0,1.0
CM001438.1_1002,GB_GCA_000244995.1,CM001438.1,1,nif,E1.1.1.219,1110786.0,1111646.0,-1.0
CM001438.1_1007,GB_GCA_000244995.1,CM001438.1,1,nif,cntB,1114276.0,1114623.0,-1.0
CM001438.1_1008,GB_GCA_000244995.1,CM001438.1,1,nif,nifK,1114748.0,1116304.0,-1.0
CM001438.1_999,GB_GCA_000244995.1,CM001438.1,1,nif,nifN,1106280.0,1107722.0,-1.0
CM001438.1_1013,GB_GCA_000244995.1,CM001438.1,1,nif,draT,1120208.0,1121038.0,1.0
CM001438.1_1009,GB_GCA_000244995.1,CM001438.1,1,nif,nifD,1116339.0,1117802.0,-1.0
CM001438.1_1000,GB_GCA_000244995.1,CM001438.1,1,nif,nifE,1108147.0,1109589.0,-1.0
CM001438.1_995,GB_GCA_000244995.1,CM001438.1,1,nif,cutD,1104852.0,1105157.0,-1.0
CM001438.1_996,GB_GCA_000244995.1,CM001438.1,1,nif,sseD,1105154.0,1105354.0,-1.0
CM001438.1_994,GB_GCA_000244995.1,CM001438.1,1,nif,NIFQ_AZOVI,1104496.0,1104840.0,-1.0
CM001438.1_997,GB_GCA_000244995.1,CM001438.1,1,nif,YNIX_RHOCA,1105347.0,1105829.0,-1.0
CM001438.1_998,GB_GCA_000244995.1,CM001438.1,1,nif,NIFX_HERSE,1105826.0,1106239.0,-1.0
CM001438.1_1003,GB_GCA_000244995.1,CM001438.1,1,nif,YTFH_ECOLI,1111742.0,1112188.0,1.0
CM001438.1_1014,GB_GCA_000244995.1,CM001438.1,1,nif,DRAG_RHORU,1121028.0,1121969.0,1.0
CM001438.1_994,GB_GCA_000244995.1,CM001438.1,1,nif,WP_293417533.1,1104496.0,1104840.0,-1.0
CM001438.1_997,GB_GCA_000244995.1,CM001438.1,1,nif,WP_314600757.1,1105347.0,1105829.0,-1.0
CM001438.1_998,GB_GCA_000244995.1,CM001438.1,1,nif,WP_209384468.1,1105826.0,1106239.0,-1.0
CM001438.1_1003,GB_GCA_000244995.1,CM001438.1,1,nif,WP_209384457.1,1111742.0,1112188.0,1.0
CM001438.1_1005,GB_GCA_000244995.1,CM001438.1,1,nif,WP_210803806.1,1113675.0,1113929.0,-1.0
CM001438.1_1006,GB_GCA_000244995.1,CM001438.1,1,nif,WP_151122660.1,1113926.0,1114246.0,-1.0
CM001438.1_1011,GB_GCA_000244995.1,CM001438.1,1,nif,glbN,1119069.0,1119602.0,1.0
CM001438.1_1012,GB_GCA_000244995.1,CM001438.1,1,nif,WP_200230946.1,1119599.0,1120192.0,1.0
CM001438.1_1014,GB_GCA_000244995.1,CM001438.1,1,nif,WP_173807434.1,1121028.0,1121969.0,1.0
CM001438.1_1031,GB_GCA_000244995.1,CM001438.1,2,nif,UL16,1131871.0,1132710.0,-1.0
CM001438.1_1035,GB_GCA_000244995.1,CM001438.1,2,nif,nifB,1133957.0,1135543.0,-1.0
CM001438.1_1030,GB_GCA_000244995.1,CM001438.1,2,nif,NIFZ_SINFN,1131543.0,1131878.0,-1.0
CM001438.1_1034,GB_GCA_000244995.1,CM001438.1,2,nif,FDXN_BRADU,1133729.0,1133923.0,-1.0
CM001438.1_1030,GB_GCA_000244995.1,CM001438.1,2,nif,WP_273468728.1,1131543.0,1131878.0,-1.0
CM001438.1_1032,GB_GCA_000244995.1,CM001438.1,2,nif,WP_245909584.1,1132729.0,1133313.0,-1.0
CM001438.1_1033,GB_GCA_000244995.1,CM001438.1,2,nif,WP_110401619.1,1133331.0,1133726.0,-1.0
CM001438.1_1034,GB_GCA_000244995.1,CM001438.1,2,nif,WP_233373897.1,1133729.0,1133923.0,-1.0
CM001438.1_1037,GB_GCA_000244995.1,CM001438.1,2,nif,WP_314599314.1,1136551.0,1136931.0,1.0
CM001438.1_1038,GB_GCA_000244995.1,CM001438.1,2,nif,WP_260788890.1,1136938.0,1137378.0,1.0
CP003083.1_1268,GB_GCA_000306725.1,CP003083.1,8,nif,MEP,1327133.0,1328599.0,1.0
CP003083.1_1272,GB_GCA_000306725.1,CP003083.1,8,nif,vnfH,1332090.0,1332911.0,1.0
CP003083.1_1271,GB_GCA_000306725.1,CP003083.1,8,nif,chpA,1330271.0,1331752.0,1.0
CP003083.1_1274,GB_GCA_000306725.1,CP003083.1,8,nif,nifI2,1333259.0,1333639.0,1.0
CP003083.1_1269,GB_GCA_000306725.1,CP003083.1,8,nif,glnK,1328605.0,1328943.0,1.0
CP003083.1_1276,GB_GCA_000306725.1,CP003083.1,8,nif,nifK,1335227.0,1336597.0,1.0
CP003083.1_1278,GB_GCA_000306725.1,CP003083.1,8,nif,nifN,1338128.0,1339546.0,1.0
CP003083.1_1275,GB_GCA_000306725.1,CP003083.1,8,nif,nifD,1333636.0,1335213.0,1.0
CP003083.1_1277,GB_GCA_000306725.1,CP003083.1,8,nif,nifE,1336629.0,1338131.0,1.0
CP003083.1_1273,GB_GCA_000306725.1,CP003083.1,8,nif,GLNB1_METBA,1332922.0,1333239.0,1.0
CP003083.1_1267,GB_GCA_000306725.1,CP003083.1,8,nif,WP_305309822.1,1325958.0,1326923.0,-1.0
CP003083.1_1270,GB_GCA_000306725.1,CP003083.1,8,nif,WP_292353134.1,1329221.0,1330015.0,1.0
CP003083.1_1273,GB_GCA_000306725.1,CP003083.1,8,nif,WP_305309818.1,1332922.0,1333239.0,1.0
CP003083.1_1279,GB_GCA_000306725.1,CP003083.1,8,nif,WP_305309811.1,1339587.0,1340168.0,-1.0
CP003083.1_1280,GB_GCA_000306725.1,CP003083.1,8,nif,WP_305309810.1,1340216.0,1340563.0,-1.0
CP003083.1_1281,GB_GCA_000306725.1,CP003083.1,8,nif,WP_305311142.1,1340573.0,1340962.0,-1.0
CP003083.1_1282,GB_GCA_000306725.1,CP003083.1,8,nif,WP_305309809.1,1340973.0,1341221.0,-1.0
CP003083.1_2196,GB_GCA_000306725.1,CP003083.1,10,nif,CNX2,2251703.0,2252638.0,1.0
CP003083.1_2198,GB_GCA_000306725.1,CP003083.1,10,nif,surE,2252840.0,2253628.0,-1.0
CP003083.1_2193,GB_GCA_000306725.1,CP003083.1,10,nif,PCNA,2248469.0,2249206.0,1.0
CP003083.1_2195,GB_GCA_000306725.1,CP003083.1,10,nif,cobB-cbiA,2250302.0,2251618.0,-1.0
CP003083.1_2192,GB_GCA_000306725.1,CP003083.1,10,nif,tfs,2247995.0,2248315.0,1.0
CP003083.1_2194,GB_GCA_000306725.1,CP003083.1,10,nif,priB,2249181.0,2250281.0,1.0
CP003083.1_2191,GB_GCA_000306725.1,CP003083.1,10,nif,ADPP_METJA,2247601.0,2248017.0,1.0
CP003083.1_2191,GB_GCA_000306725.1,CP003083.1,10,nif,WP_305311209.1,2247601.0,2248017.0,1.0
CP003083.1_2197,GB_GCA_000306725.1,CP003083.1,10,nif,WP_015054246.1,2252641.0,2252790.0,1.0
CP003083.1_2199,GB_GCA_000306725.1,CP003083.1,10,nif,WP_305311216.1,2253709.0,2254125.0,-1.0
CP003083.1_2200,GB_GCA_000306725.1,CP003083.1,10,nif,WP_292463356.1,2254167.0,2254514.0,-1.0
CP003083.1_2457,GB_GCA_000306725.1,CP003083.1,11,nif,PTS,2513816.0,2514157.0,1.0
CP003083.1_2459,GB_GCA_000306725.1,CP003083.1,11,nif,purM,2515253.0,2516230.0,1.0
CP003083.1_2454,GB_GCA_000306725.1,CP003083.1,11,nif,queC,2511749.0,2512471.0,1.0
CP003083.1_2456,GB_GCA_000306725.1,CP003083.1,11,nif,queE,2513082.0,2513816.0,1.0
CP003083.1_2455,GB_GCA_000306725.1,CP003083.1,11,nif,K09139,2512528.0,2513085.0,1.0
CP003083.1_2458,GB_GCA_000306725.1,CP003083.1,11,nif,nifB,2514254.0,2515192.0,1.0
CP003083.1_2453,GB_GCA_000306725.1,CP003083.1,11,nif,WP_292462423.1,2511117.0,2511602.0,-1.0
CP003083.1_2455,GB_GCA_000306725.1,CP003083.1,11,nif,WP_305311073.1,2512528.0,2513085.0,1.0
CP003083.1_2460,GB_GCA_000306725.1,CP003083.1,11,nif,WP_305310023.1,2516279.0,2516581.0,-1.0
CP003083.1_2461,GB_GCA_000306725.1,CP003083.1,11,nif,WP_011499462.1,2517322.0,2517825.0,-1.0
ALAO01000189.1_15,GB_GCA_000307955.1,ALAO01000189.1,1,vnf,nifH,23863.0,24663.0,-1.0
ALAO01000189.1_6,GB_GCA_000307955.1,ALAO01000189.1,1,vnf,rebM,15003.0,15776.0,-1.0
ALAO01000189.1_10,GB_GCA_000307955.1,ALAO01000189.1,1,vnf,vnfK,19548.0,20936.0,-1.0
ALAO01000189.1_7,GB_GCA_000307955.1,ALAO01000189.1,1,vnf,cobC,15799.0,17625.0,-1.0
ALAO01000189.1_5,GB_GCA_000307955.1,ALAO01000189.1,1,vnf,aslA,13994.0,15019.0,-1.0
ALAO01000189.1_12,GB_GCA_000307955.1,ALAO01000189.1,1,vnf,vnfD,21447.0,23015.0,-1.0
ALAO01000189.1_11,GB_GCA_000307955.1,ALAO01000189.1,1,vnf,ANFG_RHORU,21084.0,21434.0,-1.0
ALAO01000189.1_13,GB_GCA_000307955.1,ALAO01000189.1,1,vnf,GLNB2_METBA,23141.0,23512.0,-1.0
ALAO01000189.1_14,GB_GCA_000307955.1,ALAO01000189.1,1,vnf,GLNB3_METBA,23522.0,23839.0,-1.0
ALAO01000189.1_8,GB_GCA_000307955.1,ALAO01000189.1,1,vnf,K07005,18278.0,18778.0,-1.0
ALAO01000189.1_9,GB_GCA_000307955.1,ALAO01000189.1,1,vnf,WP_043634472.1,18807.0,19454.0,-1.0
ALAO01000189.1_11,GB_GCA_000307955.1,ALAO01000189.1,1,vnf,WP_300154853.1,21084.0,21434.0,-1.0
ALAO01000189.1_13,GB_GCA_000307955.1,ALAO01000189.1,1,vnf,WP_300154847.1,23141.0,23512.0,-1.0
ALAO01000189.1_14,GB_GCA_000307955.1,ALAO01000189.1,1,vnf,nifI1,23522.0,23839.0,-1.0
AMGN01000034.1_7,GB_GCA_000309865.1,AMGN01000034.1,1,nif,CNX2,5371.0,6300.0,-1.0
AMGN01000034.1_2,GB_GCA_000309865.1,AMGN01000034.1,1,nif,fk,744.0,1658.0,-1.0
AMGN01000034.1_9,GB_GCA_000309865.1,AMGN01000034.1,1,nif,cutD,7746.0,8801.0,1.0
