,Genome,Contig,Nitrogenase Set,Position,Location,Group No,GTDB Taxonomy,ncbi_country,Isolation Source,NCBI Taxonomy,ncbi_taxonomy_unfiltered,Organism,Regulon,PredGrowthTemp
10,GB_GCA_000316115.1,JH993797.1,HDKE,"1067,1068,1069,1072",1160216-1161094,Group 1,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Phormidesmiales;f__Phormidesmiaceae;g__Leptothoe;s__Leptothoe sp000316115,USA: Woods Hole region; Massachusetts,plankton,d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Pseudanabaenales;f__Leptolyngbyaceae;g__Leptolyngbya;s__,d__Bacteria;x__Terrabacteria group;x__Cyanobacteriota/Melainabacteria group;p__Cyanobacteriota;c__Cyanophyceae;o__Pseudanabaenales;f__Leptolyngbyaceae;g__Leptolyngbya;x__unclassified Leptolyngbya;s__Leptolyngbya sp. PCC 7375,Leptothoe sp000316115,,
11,GB_GCA_000332255.1,KB235926.1,HDDKN,"1283,1284,1286,1287,1288",1498248-1499573,,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Chlorogloeopsis;s__Chlorogloeopsis sp000332255,none,none,d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Nostocales;f__Stigonemataceae;g__;s__,d__Bacteria;x__Terrabacteria group;x__Cyanobacteriota/Melainabacteria group;p__Cyanobacteriota;c__Cyanophyceae;o__Nostocales;f__Stigonemataceae;x__unclassified Stigonemataceae;s__cyanobacterium PCC 7702,Chlorogloeopsis sp000332255,,
12,GB_GCA_000380225.1,KB904821.1,HDDKN,"2321,2322,2325,2326,2327",2676756-2678060,,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Spirulinaceae;g__ESFC-1;s__ESFC-1 sp000380225,none,none,d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Oscillatoriales;f__;g__;s__,d__Bacteria;x__Terrabacteria group;x__Cyanobacteriota/Melainabacteria group;p__Cyanobacteriota;c__Cyanophyceae;x__Oscillatoriophycideae;o__Oscillatoriales;x__unclassified Oscillatoriales;s__filamentous cyanobacterium ESFC-1,ESFC-1 sp000380225,,
13,GB_GCA_000383295.1,KB911066.1,HDK,"378,379,386",387589-389064,,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Clostridium_E;s__Clostridium_E sporosphaeroides,none,none,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__;s__[Clostridium] sporosphaeroides,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;x__Oscillospiraceae incertae sedis;s__[Clostridium] sporosphaeroides;x__[Clostridium] sporosphaeroides DSM 1294,Clostridium_E sporosphaeroides,,
14,GB_GCA_000403255.2,KE159582.1,HDK,"174,176,177",144628-145476,Group 2,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Petralouisia;s__Petralouisia sp000403255,none,none,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__;s__,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;x__unclassified Lachnospiraceae;s__Lachnospiraceae bacterium 3-1,Petralouisia sp000403255,,
15,GB_GCA_000421045.1,ATWC01000001.1,HDK,"73,76,77",85045-85899,Group 2,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__NK4A136;s__NK4A136 sp000421045,none,none,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__;s__,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;x__unclassified Lachnospiraceae;s__Lachnospiraceae bacterium NK4A179,NK4A136 sp000421045,,
16,GB_GCA_000499765.1,HG425166.1,HDDKK,"123,124,125,126,129",127509-128936,,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp000499765,none,none,d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__,d__Archaea;p__Euryarchaeota;x__Methanomada group;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;x__unclassified Methanobacterium;s__Methanobacterium sp. MB1,Methanobacterium sp000499765,,
17,GB_GCA_000504425.1,KI632513.1,HDK,"1523,1524,1533",1665587-1666966,,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Rhodopseudomonas;s__Rhodopseudomonas palustris_C,China,water,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Rhodopseudomonas;s__Rhodopseudomonas palustris,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Rhodopseudomonas;s__Rhodopseudomonas palustris;x__Rhodopseudomonas palustris JSC-3b,Rhodopseudomonas palustris_C,,
18,GB_GCA_000517005.1,KI911947.1,HDKEN,"173,174,175,176,177",157649-159031,,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Microvirga;s__Microvirga lupini,none,none,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Methylobacteriaceae;g__Microvirga;s__Microvirga lupini,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Methylobacteriaceae;g__Microvirga;s__Microvirga lupini,Microvirga lupini,,
19,GB_GCA_000526255.1,JAFS01000001.1,HDKEN,"949,950,951,952,953",980907-982289,,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Methylacidiphilales;f__Methylacidiphilaceae;g__Methylacidimicrobium;s__Methylacidimicrobium sp000526255,none,none,d__Bacteria;p__Verrucomicrobiota;c__;o__;f__;g__;s__,d__Bacteria;x__PVC group;p__Verrucomicrobiota;x__unclassified Verrucomicrobiota;s__Verrucomicrobia bacterium LP2A,Methylacidimicrobium sp000526255,,
20,GB_GCA_000681355.2,JJNX02000025.1,HDDKE,"10,4,7,8,9",7413-8711,,d__Bacteria;p__Bacillota_B;c__Desulfotomaculia;o__Desulfotomaculales;f__Nap2-2B;g__SCADC1-2-3;s__SCADC1-2-3 sp000681355,Canada: Northern Alberta,3 cells amplified by MDA; sorted single cells from oil sands tailings pond,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Peptococcaceae;g__;s__,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Peptococcaceae;x__unclassified Peptococcaceae;s__Peptococcaceae bacterium SCADC1_2_3,SCADC1-2-3 sp000681355,,
21,GB_GCA_000685825.1,JMKQ01000006.1,HDKEN,"1879,1880,1881,1882,1883",1960061-1961458,,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylosinus;s__Methylosinus sp000685825,none,none,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Methylocystaceae;g__Methylocystis;s__,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Methylocystaceae;g__Methylocystis;x__unclassified Methylocystis;s__Methylocystis sp. LW5,Methylosinus sp000685825,,
22,GB_GCA_000701625.1,JNJK01000002.1,HDK,"265,266,267",293951-295426,,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__NK4A144;s__NK4A144 sp000701625,none,none,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__;s__,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;x__unclassified Lachnospiraceae;s__Lachnospiraceae bacterium MC2017,NK4A144 sp000701625,,
23,GB_GCA_000702085.1,JNKP01000004.1,HDK,"16,17,19",12590-14125,,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__AC2028;s__AC2028 sp000702085,none,none,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__;s__,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;x__unclassified Lachnospiraceae;s__Lachnospiraceae bacterium P6A3,AC2028 sp000702085,,
24,GB_GCA_000702545.1,JNIO01000007.1,HDK,"158,159,160",192921-193775,Group 2,d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Selenomonas_B;s__Selenomonas_B ruminantium_A,none,none,d__Bacteria;p__Bacillota;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Selenomonas;s__Selenomonas ruminantium,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Selenomonas;s__Selenomonas ruminantium;x__Selenomonas ruminantium AB3002,Selenomonas_B ruminantium_A,,
25,GB_GCA_000702685.1,JNJD01000007.1,HDK,"357,358,360",403448-404983,,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__AC2028;s__AC2028 sp000702685,none,none,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__;s__,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;x__unclassified Lachnospiraceae;s__Lachnospiraceae bacterium AC2028,AC2028 sp000702685,,
26,GB_GCA_000733415.1,KL662192.1,HDKENN,"68,73,74,75,77,78",62355-63839,,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Elainellales;f__Elainellaceae;g__Elainella;s__Elainella sp000733415,none,none,d__Bacteria;p__Cyanobacteriota;c__;o__;f__;g__;s__,d__Bacteria;x__Terrabacteria group;x__Cyanobacteriota/Melainabacteria group;p__Cyanobacteriota;x__unclassified Cyanobacteriota;s__[Leptolyngbya] sp. JSC-1,Elainella sp000733415,,
27,GB_GCA_000739515.1,DF820458.1,HDKEE,"511,512,513,514,517",602305-603663,,d__Bacteria;p__Moduliflexota;c__Moduliflexia;o__Moduliflexales;f__Moduliflexaceae;g__Moduliflexus;s__Moduliflexus flocculans,none,population genome bin extracted from metagenomes of a methanogenic wastewater treatment sludge,d__Bacteria;p__Candidatus Moduliflexota;c__Candidatus Moduliflexia;o__Candidatus Moduliflexales;f__Candidatus Moduliflexaceae;g__Candidatus Moduliflexus;s__Candidatus Moduliflexus flocculans,d__Bacteria;p__Candidatus Moduliflexota;c__Candidatus Moduliflexia;o__Candidatus Moduliflexales;f__Candidatus Moduliflexaceae;g__Candidatus Moduliflexus;s__Candidatus Moduliflexus flocculans,Moduliflexus flocculans,,
28,GB_GCA_000747625.2,JQDQ01000073.1,HDKEN,"12,15,16,17,18",10801-11625,Group 2,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__Smithella;s__Smithella sp000747625,Canada: Northern Alberta,mature fine tailings from oil sands tailings pond grown in anaerobic alkane degrading enrichment culture,d__Bacteria;p__Thermodesulfobacteriota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__Smithella;s__,d__Bacteria;p__Thermodesulfobacteriota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__Smithella;x__unclassified Smithella;s__Smithella sp. SCADC,Smithella sp000747625,,
29,GB_GCA_000769715.1,JROS01000008.1,HDDKNN,"41,42,43,49,50,53",48695-49975,,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__Desulfoprunum;s__Desulfoprunum sp000769715,Canada: Alberta,obtained by stable isotope probing of toluene degrading sulfate-reducing culture enriched from oil sands tailings of Alberta; Canada,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Desulfobulbus;s__,d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Desulfobulbus;x__unclassified Desulfobulbus;s__Desulfobulbus sp. Tol-SR,Desulfoprunum sp000769715,,
30,GB_GCA_000770645.1,JQID01000095.1,HDKEN,"10,11,7,8,9",8504-9937,,d__Bacteria;p__Bacillota_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__Desulfosporosinus sp000770645,Canada: Alberta,obtained by stable isotope probing of toluene-degrading methanogenic culture enriched from oil sands tailing of Alberta; Canada,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;x__unclassified Desulfosporosinus;s__Desulfosporosinus sp. Tol-M,Desulfosporosinus sp000770645,,
31,GB_GCA_000802095.1,JUEB01000015.1,HDKEE,"21,24,25,26,27",18509-19327,Group 2,d__Bacteria;p__Bacillota_B;c__Desulfotomaculia;o__Desulfotomaculales;f__Desulfocucumaceae;g__BRHc4a;s__BRHc4a sp000802095,Switzerland: Mt Terri URL; St-Ursanne,Opalinus Clay rock,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Peptococcaceae;g__;s__,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Peptococcaceae;x__unclassified Peptococcaceae;s__Peptococcaceae bacterium BICA1-7,BRHc4a sp000802095,,
32,GB_GCA_000824785.1,CCNB01000015.1,HDKEN,"32,33,34,35,36",39664-41046,,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Mesorhizobium;s__Mesorhizobium plurifarium,Senegal,none,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Phyllobacteriaceae;g__Mesorhizobium;s__Mesorhizobium plurifarium,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Phyllobacteriaceae;g__Mesorhizobium;s__Mesorhizobium plurifarium,Mesorhizobium plurifarium,,
33,GB_GCA_000824805.1,CCNA01000013.1,HDKEN,"18,19,20,21,22",19097-19990,Group 1,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Mesorhizobium;s__Mesorhizobium sp000824805,Senegal,none,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Phyllobacteriaceae;g__Mesorhizobium;s__,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Phyllobacteriaceae;g__Mesorhizobium;x__unclassified Mesorhizobium;s__Mesorhizobium sp. SOD10,Mesorhizobium sp000824805,,
34,GB_GCA_000824825.2,LM655202.1,HDKEN,"252,253,254,255,256",309285-310178,Group 1,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Mesorhizobium;s__Mesorhizobium sp000824825,Senegal,none,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Phyllobacteriaceae;g__Mesorhizobium;s__,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Phyllobacteriaceae;g__Mesorhizobium;x__unclassified Mesorhizobium;s__Mesorhizobium sp. ORS 3324,Mesorhizobium sp000824825,,
35,GB_GCA_000824845.1,CCNC01000179.1,HDKEN,"50,51,52,53,54",51524-52906,,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Mesorhizobium;s__Mesorhizobium sp000824845,Senegal,none,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Phyllobacteriaceae;g__Mesorhizobium;s__,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Phyllobacteriaceae;g__Mesorhizobium;x__unclassified Mesorhizobium;s__Mesorhizobium sp. ORS 3359,Mesorhizobium sp000824845,,
36,GB_GCA_000828085.3,JXCA02000002.1,HDKE,"417,422,423,424",479833-481512,,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Brasilonema;s__Brasilonema tolypothrichoides,India,environmental,d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Nostocales;f__Scytonemataceae;g__Scytonema;s__Scytonema tolypothrichoides,d__Bacteria;x__Terrabacteria group;x__Cyanobacteriota/Melainabacteria group;p__Cyanobacteriota;c__Cyanophyceae;o__Nostocales;f__Scytonemataceae;g__Scytonema;s__Scytonema tolypothrichoides;x__Scytonema tolypothrichoides VB-61278,Brasilonema tolypothrichoides,,
37,GB_GCA_000828835.1,AP014633.1,HDKEN,"1781,1782,1783,1788,1789",2169081-2169968,Group 1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Beggiatoales;f__Beggiatoaceae;g__Thioploca;s__Thioploca ingrica,none,none,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Thioploca;s__Thioploca ingrica,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Thioploca;s__Thioploca ingrica,Thioploca ingrica,,
38,GB_GCA_000828975.1,AP014683.1,HDDKN,"1375,1376,1377,1378,1379",1488096-1489457,,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__GJ-E10;s__GJ-E10 sp000828975,none,fresh water sediment,d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__;g__;s__,d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;x__unclassified Burkholderiales;s__Burkholderiales bacterium GJ-E10,GJ-E10 sp000828975,,
39,GB_GCA_000830175.1,JQIS01000066.1,HDK,"20,21,23",17471-19018,,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurovaceae;g__FS08-3;s__FS08-3 sp000830175,Italy: Frasassi,sulfidic fissure spring - flowing,d__Bacteria;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Sulfurovaceae;g__Sulfurovum;s__,d__Bacteria;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Sulfurovaceae;g__Sulfurovum;x__unclassified Sulfurovum;s__Sulfurovum sp. FS08-3,FS08-3 sp000830175,,
40,GB_GCA_000830255.1,JQIT01000005.1,HDK,"265,267,268",254985-255890,Group 1,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__PC08-66;s__PC08-66 sp000830255,Italy: Frasassi,Pozzo dei Cristalli sulfidic cave stream,d__Bacteria;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__Sulfuricurvum;s__,d__Bacteria;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__Sulfuricurvum;x__unclassified Sulfuricurvum;s__Sulfuricurvum sp. PC08-66,PC08-66 sp000830255,,
41,GB_GCA_000953215.1,LM995447.1,HDK,"822,823,827",907600-909075,,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ethanoligenenaceae;g__Ruminiclostridium_D;s__Ruminiclostridium_D cellulosi,none,none,d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__;s__[Clostridium] cellulosi,d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;x__Oscillospiraceae incertae sedis;s__[Clostridium] cellulosi,Ruminiclostridium_D cellulosi,,
42,GB_GCA_000953475.1,LM997411.1,HDDKN,"2057,2058,2059,2060,2061",2252356-2253699,,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Methylacidiphilales;f__Methylacidiphilaceae;g__Methylacidiphilum;s__Methylacidiphilum fumariolicum,none,none,d__Bacteria;p__Verrucomicrobiota;c__Methylacidiphilae;o__Methylacidiphilales;f__Methylacidiphilaceae;g__Methylacidiphilum;s__Methylacidiphilum fumariolicum,d__Bacteria;x__PVC group;p__Verrucomicrobiota;c__Methylacidiphilae;o__Methylacidiphilales;f__Methylacidiphilaceae;g__Methylacidiphilum;s__Methylacidiphilum fumariolicum;x__Methylacidiphilum fumariolicum SolV,Methylacidiphilum fumariolicum,,
