,genome,contig,query_id,gene,start,end,orientation
1,RS_GCF_935825525.1,NZ_CAKXZT010000116.1,NZ_CAKXZT010000116.1_84,nifH,94760.0,95653.0,1.0
2,RS_GCF_935825525.1,NZ_CAKXZT010000116.1,NZ_CAKXZT010000116.1_86,nifK,97384.0,98925.0,1.0
3,RS_GCF_935825525.1,NZ_CAKXZT010000116.1,NZ_CAKXZT010000116.1_88,nifN,100487.0,101869.0,1.0
4,RS_GCF_935825525.1,NZ_CAKXZT010000116.1,NZ_CAKXZT010000116.1_91,prrA,102938.0,103642.0,1.0
5,RS_GCF_935825525.1,NZ_CAKXZT010000116.1,NZ_CAKXZT010000116.1_85,nifD,95749.0,97251.0,1.0
6,RS_GCF_935825525.1,NZ_CAKXZT010000116.1,NZ_CAKXZT010000116.1_87,nifE,98988.0,100490.0,1.0
0,GB_GCA_031287575.1,JAITSV010000032.1,JAITSV010000032.1_68,argI,59838.0,60740.0,-1.0
1,GB_GCA_031287575.1,JAITSV010000032.1,JAITSV010000032.1_82,pmmS,77668.0,78963.0,-1.0
2,GB_GCA_031287575.1,JAITSV010000032.1,JAITSV010000032.1_66,pcaB,56872.0,58254.0,-1.0
3,GB_GCA_031287575.1,JAITSV010000032.1,JAITSV010000032.1_67,ASS1,58564.0,59769.0,-1.0
4,GB_GCA_031287575.1,JAITSV010000032.1,JAITSV010000032.1_81,nifA,75847.0,77655.0,-1.0
5,GB_GCA_031287575.1,JAITSV010000032.1,JAITSV010000032.1_71,vnfH,64843.0,65670.0,1.0
6,GB_GCA_031287575.1,JAITSV010000032.1,JAITSV010000032.1_73,nifI2,66080.0,66451.0,1.0
7,GB_GCA_031287575.1,JAITSV010000032.1,JAITSV010000032.1_76,vnfK,68779.0,70167.0,1.0
8,GB_GCA_031287575.1,JAITSV010000032.1,JAITSV010000032.1_79,mcp,72082.0,73833.0,-1.0
9,GB_GCA_031287575.1,JAITSV010000032.1,JAITSV010000032.1_75,anfG,68101.0,68493.0,1.0
10,GB_GCA_031287575.1,JAITSV010000032.1,JAITSV010000032.1_74,vnfD,66542.0,68101.0,1.0
11,GB_GCA_031287575.1,JAITSV010000032.1,JAITSV010000032.1_69,K09740,61014.0,61865.0,1.0
12,GB_GCA_031287575.1,JAITSV010000032.1,JAITSV010000032.1_80,nifB,74242.0,75750.0,-1.0
0,RS_GCF_013520985.1,NZ_JACDTY010000017.1,NZ_JACDTY010000017.1_49,atmS9,46577.0,47500.0,1.0
1,RS_GCF_013520985.1,NZ_JACDTY010000017.1,NZ_JACDTY010000017.1_50,proV,47635.0,48237.0,1.0
2,RS_GCF_013520985.1,NZ_JACDTY010000017.1,NZ_JACDTY010000017.1_48,cfbC,44521.0,45414.0,-1.0
3,RS_GCF_013520985.1,NZ_JACDTY010000017.1,NZ_JACDTY010000017.1_51,K3,48308.0,50278.0,-1.0
4,RS_GCF_013520985.1,NZ_JACDTY010000017.1,NZ_JACDTY010000017.1_42,NA,37362.0,37841.0,-1.0
5,RS_GCF_013520985.1,NZ_JACDTY010000017.1,NZ_JACDTY010000017.1_46,nifK,41206.0,42747.0,-1.0
6,RS_GCF_013520985.1,NZ_JACDTY010000017.1,NZ_JACDTY010000017.1_44,nifN,38316.0,39698.0,-1.0
7,RS_GCF_013520985.1,NZ_JACDTY010000017.1,NZ_JACDTY010000017.1_41,phoB,36554.0,37333.0,-1.0
8,RS_GCF_013520985.1,NZ_JACDTY010000017.1,NZ_JACDTY010000017.1_47,nifD,42906.0,44405.0,-1.0
9,RS_GCF_013520985.1,NZ_JACDTY010000017.1,NZ_JACDTY010000017.1_45,nifE,39708.0,41201.0,-1.0
0,GB_GCA_003153275.1,PLXX01000039.1,PLXX01000039.1_30,atpB,24884.0,25378.0,1.0
1,GB_GCA_003153275.1,PLXX01000039.1,PLXX01000039.1_31,atpE,25422.0,25778.0,1.0
2,GB_GCA_003153275.1,PLXX01000039.1,PLXX01000039.1_15,SH3YL1,10783.0,11484.0,1.0
3,GB_GCA_003153275.1,PLXX01000039.1,PLXX01000039.1_19,sat3,13122.0,13583.0,-1.0
4,GB_GCA_003153275.1,PLXX01000039.1,PLXX01000039.1_27,vnfH,20787.0,21632.0,-1.0
5,GB_GCA_003153275.1,PLXX01000039.1,PLXX01000039.1_21,glnB,13964.0,14383.0,-1.0
6,GB_GCA_003153275.1,PLXX01000039.1,PLXX01000039.1_25,nifK,17742.0,19250.0,-1.0
7,GB_GCA_003153275.1,PLXX01000039.1,PLXX01000039.1_24,nifE,15128.0,17725.0,-1.0
8,GB_GCA_003153275.1,PLXX01000039.1,PLXX01000039.1_28,mrcA,21963.0,24266.0,1.0
9,GB_GCA_003153275.1,PLXX01000039.1,PLXX01000039.1_23,nifX,14736.0,15131.0,-1.0
10,GB_GCA_003153275.1,PLXX01000039.1,PLXX01000039.1_34,dgt,28087.0,29148.0,-1.0
11,GB_GCA_003153275.1,PLXX01000039.1,PLXX01000039.1_26,nifD,19247.0,20674.0,-1.0
12,GB_GCA_003153275.1,PLXX01000039.1,PLXX01000039.1_22,glnB,14380.0,14697.0,-1.0
13,GB_GCA_003153275.1,PLXX01000039.1,PLXX01000039.1_33,ribF,26767.0,27702.0,1.0
0,RS_GCF_030813505.1,NZ_JAUSUE010000003.1,NZ_JAUSUE010000003.1_74,pmmS,74553.0,75332.0,-1.0
1,RS_GCF_030813505.1,NZ_JAUSUE010000003.1,NZ_JAUSUE010000003.1_75,IMS,75334.0,76257.0,-1.0
2,RS_GCF_030813505.1,NZ_JAUSUE010000003.1,NZ_JAUSUE010000003.1_87,proV,89259.0,90542.0,-1.0
3,RS_GCF_030813505.1,NZ_JAUSUE010000003.1,NZ_JAUSUE010000003.1_86,aotP,88450.0,89265.0,-1.0
4,RS_GCF_030813505.1,NZ_JAUSUE010000003.1,NZ_JAUSUE010000003.1_88,PK1,90784.0,92238.0,-1.0
5,RS_GCF_030813505.1,NZ_JAUSUE010000003.1,NZ_JAUSUE010000003.1_68,gntC,67326.0,68315.0,1.0
6,RS_GCF_030813505.1,NZ_JAUSUE010000003.1,NZ_JAUSUE010000003.1_82,vnfH,84642.0,85463.0,-1.0
7,RS_GCF_030813505.1,NZ_JAUSUE010000003.1,NZ_JAUSUE010000003.1_70,bifA,68952.0,70730.0,-1.0
8,RS_GCF_030813505.1,NZ_JAUSUE010000003.1,NZ_JAUSUE010000003.1_80,nifI2,83688.0,84092.0,-1.0
9,RS_GCF_030813505.1,NZ_JAUSUE010000003.1,NZ_JAUSUE010000003.1_78,nifK,80728.0,82092.0,-1.0
10,RS_GCF_030813505.1,NZ_JAUSUE010000003.1,NZ_JAUSUE010000003.1_76,nifB,76313.0,78976.0,-1.0
11,RS_GCF_030813505.1,NZ_JAUSUE010000003.1,NZ_JAUSUE010000003.1_77,vnfK,79035.0,80381.0,-1.0
12,RS_GCF_030813505.1,NZ_JAUSUE010000003.1,NZ_JAUSUE010000003.1_71,bpeT,70829.0,71746.0,-1.0
13,RS_GCF_030813505.1,NZ_JAUSUE010000003.1,NZ_JAUSUE010000003.1_79,nifD,82085.0,83686.0,-1.0
14,RS_GCF_030813505.1,NZ_JAUSUE010000003.1,NZ_JAUSUE010000003.1_69,hupB,68542.0,68853.0,1.0
0,GB_GCA_903887485.1,CAISPV010000119.1,CAISPV010000119.1_28,ybhF,23354.0,25093.0,1.0
1,GB_GCA_903887485.1,CAISPV010000119.1,CAISPV010000119.1_25,vnfH,20335.0,21162.0,-1.0
2,GB_GCA_903887485.1,CAISPV010000119.1,CAISPV010000119.1_15,sat3,12933.0,13394.0,-1.0
3,GB_GCA_903887485.1,CAISPV010000119.1,CAISPV010000119.1_23,nifI2,19477.0,19851.0,-1.0
4,GB_GCA_903887485.1,CAISPV010000119.1,CAISPV010000119.1_21,nifK,16243.0,17616.0,-1.0
5,GB_GCA_903887485.1,CAISPV010000119.1,CAISPV010000119.1_27,ybhG,22339.0,23364.0,1.0
6,GB_GCA_903887485.1,CAISPV010000119.1,CAISPV010000119.1_29,ybhS,25090.0,25569.0,1.0
7,GB_GCA_903887485.1,CAISPV010000119.1,CAISPV010000119.1_22,nifD,17802.0,19442.0,-1.0
8,GB_GCA_903887485.1,CAISPV010000119.1,CAISPV010000119.1_20,nifB,14963.0,16135.0,-1.0
0,RS_GCF_003432035.1,NZ_QOHO01000025.1,NZ_QOHO01000025.1_74,pmmS,76975.0,77796.0,-1.0
1,RS_GCF_003432035.1,NZ_QOHO01000025.1,NZ_QOHO01000025.1_75,IMS,77771.0,78754.0,-1.0
2,RS_GCF_003432035.1,NZ_QOHO01000025.1,NZ_QOHO01000025.1_85,rhaT,88399.0,89451.0,-1.0
3,RS_GCF_003432035.1,NZ_QOHO01000025.1,NZ_QOHO01000025.1_86,modB,89453.0,90151.0,-1.0
4,RS_GCF_003432035.1,NZ_QOHO01000025.1,NZ_QOHO01000025.1_83,cfbC,86948.0,87766.0,-1.0
5,RS_GCF_003432035.1,NZ_QOHO01000025.1,NZ_QOHO01000025.1_79,nifE,83214.0,84587.0,-1.0
6,RS_GCF_003432035.1,NZ_QOHO01000025.1,NZ_QOHO01000025.1_77,nifB,79125.0,81755.0,-1.0
7,RS_GCF_003432035.1,NZ_QOHO01000025.1,NZ_QOHO01000025.1_78,nifE,81774.0,83129.0,-1.0
8,RS_GCF_003432035.1,NZ_QOHO01000025.1,NZ_QOHO01000025.1_80,nifD,84587.0,86185.0,-1.0
9,RS_GCF_003432035.1,NZ_QOHO01000025.1,NZ_QOHO01000025.1_76,hylB,78803.0,79111.0,-1.0
0,GB_GCA_027335965.1,DAHWGZ010000012.1,DAHWGZ010000012.1_19,cetM,17895.0,19004.0,-1.0
1,GB_GCA_027335965.1,DAHWGZ010000012.1,DAHWGZ010000012.1_16,cfbC,15279.0,16163.0,-1.0
2,GB_GCA_027335965.1,DAHWGZ010000012.1,DAHWGZ010000012.1_22,NFS1,19505.0,20662.0,-1.0
3,GB_GCA_027335965.1,DAHWGZ010000012.1,DAHWGZ010000012.1_14,nifK,12166.0,13722.0,-1.0
4,GB_GCA_027335965.1,DAHWGZ010000012.1,DAHWGZ010000012.1_11,nifN,8945.0,10318.0,-1.0
5,GB_GCA_027335965.1,DAHWGZ010000012.1,DAHWGZ010000012.1_15,nifD,13764.0,15224.0,-1.0
6,GB_GCA_027335965.1,DAHWGZ010000012.1,DAHWGZ010000012.1_12,nifE,10315.0,11709.0,-1.0
0,GB_GCA_020446745.1,JAGREA010000112.1,JAGREA010000112.1_17,vnfH,13511.0,14407.0,-1.0
1,GB_GCA_020446745.1,JAGREA010000112.1,JAGREA010000112.1_15,nifK,10303.0,11874.0,-1.0
2,GB_GCA_020446745.1,JAGREA010000112.1,JAGREA010000112.1_9,nifE,4669.0,7449.0,-1.0
3,GB_GCA_020446745.1,JAGREA010000112.1,JAGREA010000112.1_8,nifX,4181.0,4657.0,-1.0
4,GB_GCA_020446745.1,JAGREA010000112.1,JAGREA010000112.1_16,nifD,11960.0,13438.0,-1.0
0,RS_GCF_001076885.1,NZ_JVDT01000116.1,NZ_JVDT01000116.1_2,pmmS,992.0,2113.0,-1.0
1,RS_GCF_001076885.1,NZ_JVDT01000116.1,NZ_JVDT01000116.1_13,mntA,12360.0,12995.0,-1.0
2,RS_GCF_001076885.1,NZ_JVDT01000116.1,NZ_JVDT01000116.1_14,modB,13077.0,13751.0,-1.0
3,RS_GCF_001076885.1,NZ_JVDT01000116.1,NZ_JVDT01000116.1_11,vnfH,9711.0,10586.0,-1.0
4,RS_GCF_001076885.1,NZ_JVDT01000116.1,NZ_JVDT01000116.1_9,nifK,6700.0,8229.0,-1.0
5,RS_GCF_001076885.1,NZ_JVDT01000116.1,NZ_JVDT01000116.1_7,nifE,3967.0,5250.0,-1.0
6,RS_GCF_001076885.1,NZ_JVDT01000116.1,NZ_JVDT01000116.1_6,nifX,3566.0,3946.0,-1.0
7,RS_GCF_001076885.1,NZ_JVDT01000116.1,NZ_JVDT01000116.1_8,nifE,5247.0,6608.0,-1.0
8,RS_GCF_001076885.1,NZ_JVDT01000116.1,NZ_JVDT01000116.1_10,nifD,8250.0,9680.0,-1.0
9,RS_GCF_001076885.1,NZ_JVDT01000116.1,NZ_JVDT01000116.1_5,ubaA,2779.0,3543.0,-1.0
10,RS_GCF_001076885.1,NZ_JVDT01000116.1,NZ_JVDT01000116.1_15,modA,13806.0,14597.0,-1.0
11,RS_GCF_001076885.1,NZ_JVDT01000116.1,NZ_JVDT01000116.1_12,nifB,10628.0,12004.0,-1.0
0,GB_GCA_903823025.1,CAIJRK010000061.1,CAIJRK010000061.1_40,cah,32711.0,33391.0,-1.0
1,GB_GCA_903823025.1,CAIJRK010000061.1,CAIJRK010000061.1_31,soj,25113.0,25994.0,1.0
2,GB_GCA_903823025.1,CAIJRK010000061.1,CAIJRK010000061.1_33,vnfE,27611.0,29170.0,1.0
3,GB_GCA_903823025.1,CAIJRK010000061.1,CAIJRK010000061.1_34,cntB,29245.0,29592.0,1.0
4,GB_GCA_903823025.1,CAIJRK010000061.1,CAIJRK010000061.1_24,mtnV,19261.0,20808.0,-1.0
5,GB_GCA_903823025.1,CAIJRK010000061.1,CAIJRK010000061.1_27,nnrR,22728.0,23381.0,-1.0
6,GB_GCA_903823025.1,CAIJRK010000061.1,CAIJRK010000061.1_23,tsr,17207.0,18796.0,1.0
7,GB_GCA_903823025.1,CAIJRK010000061.1,CAIJRK010000061.1_32,nifD,26081.0,27544.0,1.0
8,GB_GCA_903823025.1,CAIJRK010000061.1,CAIJRK010000061.1_25,cutD,20902.0,22341.0,1.0
9,GB_GCA_903823025.1,CAIJRK010000061.1,CAIJRK010000061.1_39,exaA,31443.0,32600.0,-1.0
10,GB_GCA_903823025.1,CAIJRK010000061.1,CAIJRK010000061.1_37,bfr,30533.0,31012.0,1.0
0,GB_GCA_001603335.1,LUYR01000161.1,LUYR01000161.1_11,artI,8902.0,9693.0,1.0
1,GB_GCA_001603335.1,LUYR01000161.1,LUYR01000161.1_10,alaS,8000.0,8716.0,1.0
2,GB_GCA_001603335.1,LUYR01000161.1,LUYR01000161.1_3,vnfH,2139.0,3017.0,1.0
3,GB_GCA_001603335.1,LUYR01000161.1,LUYR01000161.1_5,nifD,4784.0,6355.0,1.0
4,GB_GCA_001603335.1,LUYR01000161.1,LUYR01000161.1_12,bifA,9690.0,12365.0,1.0
5,GB_GCA_001603335.1,LUYR01000161.1,LUYR01000161.1_8,nifX,6968.0,7675.0,1.0
6,GB_GCA_001603335.1,LUYR01000161.1,LUYR01000161.1_2,draT,1106.0,1942.0,-1.0
7,GB_GCA_001603335.1,LUYR01000161.1,LUYR01000161.1_4,nifD,3064.0,4536.0,1.0
0,RS_GCF_017354945.1,NZ_CP071503.1,NZ_CP071503.1_525,pnbA,627831.0,629354.0,-1.0
1,RS_GCF_017354945.1,NZ_CP071503.1,NZ_CP071503.1_526,bglX,629550.0,631976.0,-1.0
2,RS_GCF_017354945.1,NZ_CP071503.1,NZ_CP071503.1_512,sat3,615779.0,616234.0,1.0
3,RS_GCF_017354945.1,NZ_CP071503.1,NZ_CP071503.1_514,vnfH,617872.0,618747.0,1.0
4,RS_GCF_017354945.1,NZ_CP071503.1,NZ_CP071503.1_530,hmuR,634547.0,637741.0,1.0
5,RS_GCF_017354945.1,NZ_CP071503.1,NZ_CP071503.1_516,nifK,620340.0,621911.0,1.0
6,RS_GCF_017354945.1,NZ_CP071503.1,NZ_CP071503.1_521,nifN,624872.0,626251.0,1.0
7,RS_GCF_017354945.1,NZ_CP071503.1,NZ_CP071503.1_522,nifX,626248.0,626739.0,1.0
8,RS_GCF_017354945.1,NZ_CP071503.1,NZ_CP071503.1_518,nifX,622215.0,622904.0,1.0
9,RS_GCF_017354945.1,NZ_CP071503.1,NZ_CP071503.1_515,nifD,618796.0,620265.0,1.0
10,RS_GCF_017354945.1,NZ_CP071503.1,NZ_CP071503.1_520,nifE,623407.0,624861.0,1.0
11,RS_GCF_017354945.1,NZ_CP071503.1,NZ_CP071503.1_513,ppiC,616356.0,617162.0,-1.0
0,GB_GCA_030156225.1,JASGMW010000001.1,JASGMW010000001.1_41,nifH,39603.0,40427.0,1.0
1,GB_GCA_030156225.1,JASGMW010000001.1,JASGMW010000001.1_51,blaB,49139.0,49804.0,1.0
2,GB_GCA_030156225.1,JASGMW010000001.1,JASGMW010000001.1_54,K08999,50892.0,51341.0,-1.0
3,GB_GCA_030156225.1,JASGMW010000001.1,JASGMW010000001.1_53,hisIE,50563.0,50856.0,1.0
4,GB_GCA_030156225.1,JASGMW010000001.1,JASGMW010000001.1_45,nifK,42861.0,44237.0,1.0
5,GB_GCA_030156225.1,JASGMW010000001.1,JASGMW010000001.1_47,nifN,45639.0,47036.0,1.0
6,GB_GCA_030156225.1,JASGMW010000001.1,JASGMW010000001.1_44,nifD,41241.0,42854.0,1.0
7,GB_GCA_030156225.1,JASGMW010000001.1,JASGMW010000001.1_46,nifE,44251.0,45642.0,1.0
8,GB_GCA_030156225.1,JASGMW010000001.1,JASGMW010000001.1_35,K07814,35072.0,35443.0,1.0
9,GB_GCA_030156225.1,JASGMW010000001.1,JASGMW010000001.1_42,nifI1,40457.0,40783.0,1.0
10,GB_GCA_030156225.1,JASGMW010000001.1,JASGMW010000001.1_49,E4.2.3.182,47357.0,47989.0,1.0
11,GB_GCA_030156225.1,JASGMW010000001.1,JASGMW010000001.1_37,kinB,36086.0,36808.0,1.0
12,GB_GCA_030156225.1,JASGMW010000001.1,JASGMW010000001.1_55,cprC,51366.0,52415.0,-1.0
0,GB_GCA_016217695.1,JACRHE010000068.1,JACRHE010000068.1_24,bkdB,23663.0,24841.0,1.0
1,GB_GCA_016217695.1,JACRHE010000068.1,JACRHE010000068.1_22,tdcB,21232.0,22425.0,1.0
2,GB_GCA_016217695.1,JACRHE010000068.1,JACRHE010000068.1_18,vnfH,16408.0,17250.0,-1.0
3,GB_GCA_016217695.1,JACRHE010000068.1,JACRHE010000068.1_26,TMTC,26263.0,27843.0,1.0
4,GB_GCA_016217695.1,JACRHE010000068.1,JACRHE010000068.1_25,acdA,24838.0,26253.0,1.0
5,GB_GCA_016217695.1,JACRHE010000068.1,JACRHE010000068.1_9,sat3,7967.0,8419.0,-1.0
6,GB_GCA_016217695.1,JACRHE010000068.1,JACRHE010000068.1_11,glnB,9032.0,9448.0,-1.0
7,GB_GCA_016217695.1,JACRHE010000068.1,JACRHE010000068.1_16,nifD,13346.0,14857.0,-1.0
8,GB_GCA_016217695.1,JACRHE010000068.1,JACRHE010000068.1_15,nifE,10437.0,13214.0,-1.0
9,GB_GCA_016217695.1,JACRHE010000068.1,JACRHE010000068.1_14,nifX,10039.0,10437.0,-1.0
10,GB_GCA_016217695.1,JACRHE010000068.1,JACRHE010000068.1_17,nifD,14854.0,16281.0,-1.0
11,GB_GCA_016217695.1,JACRHE010000068.1,JACRHE010000068.1_13,glnB,9545.0,9862.0,-1.0
12,GB_GCA_016217695.1,JACRHE010000068.1,JACRHE010000068.1_7,nifB,6326.0,7216.0,-1.0
0,RS_GCF_001402875.1,NZ_CP012946.1,NZ_CP012946.1_2239,pmmS,2522452.0,2523609.0,1.0
1,RS_GCF_001402875.1,NZ_CP012946.1,NZ_CP012946.1_2238,NFS1,2521221.0,2522459.0,1.0
2,RS_GCF_001402875.1,NZ_CP012946.1,NZ_CP012946.1_2223,fixC,2507024.0,2508331.0,1.0
3,RS_GCF_001402875.1,NZ_CP012946.1,NZ_CP012946.1_2220,slt,2502455.0,2504491.0,1.0
4,RS_GCF_001402875.1,NZ_CP012946.1,NZ_CP012946.1_2226,cbdC,2510004.0,2510369.0,-1.0
5,RS_GCF_001402875.1,NZ_CP012946.1,NZ_CP012946.1_2229,nifK,2513329.0,2514864.0,1.0
6,RS_GCF_001402875.1,NZ_CP012946.1,NZ_CP012946.1_2231,nifN,2516723.0,2518117.0,1.0
7,RS_GCF_001402875.1,NZ_CP012946.1,NZ_CP012946.1_2224,fixX,2508422.0,2508727.0,1.0
8,RS_GCF_001402875.1,NZ_CP012946.1,NZ_CP012946.1_2228,nifD,2511696.0,2513198.0,1.0
9,RS_GCF_001402875.1,NZ_CP012946.1,NZ_CP012946.1_2230,nifE,2515145.0,2516719.0,1.0
10,RS_GCF_001402875.1,NZ_CP012946.1,NZ_CP012946.1_2222,carE,2505906.0,2507012.0,1.0
11,RS_GCF_001402875.1,NZ_CP012946.1,NZ_CP012946.1_2227,bchX,2510738.0,2511631.0,1.0
0,GB_GCA_025361735.1,JANYKD010000055.1,JANYKD010000055.1_52,pmmS,59474.0,60673.0,-1.0
1,GB_GCA_025361735.1,JANYKD010000055.1,JANYKD010000055.1_50,nifA,57121.0,58785.0,-1.0
2,GB_GCA_025361735.1,JANYKD010000055.1,JANYKD010000055.1_59,nifD,67059.0,68792.0,-1.0
3,GB_GCA_025361735.1,JANYKD010000055.1,JANYKD010000055.1_51,sat3,58993.0,59514.0,-1.0
4,GB_GCA_025361735.1,JANYKD010000055.1,JANYKD010000055.1_60,vnfH,68905.0,69738.0,-1.0
5,GB_GCA_025361735.1,JANYKD010000055.1,JANYKD010000055.1_58,nifK,65543.0,66934.0,-1.0
6,GB_GCA_025361735.1,JANYKD010000055.1,JANYKD010000055.1_55,nifN,62524.0,63888.0,-1.0
7,GB_GCA_025361735.1,JANYKD010000055.1,JANYKD010000055.1_56,nifE,63885.0,65264.0,-1.0
8,GB_GCA_025361735.1,JANYKD010000055.1,JANYKD010000055.1_54,nifB,61213.0,62508.0,-1.0
0,GB_GCA_031271805.1,JAISUX010000004.1,JAISUX010000004.1_16,pmmS,14751.0,15869.0,1.0
1,GB_GCA_031271805.1,JAISUX010000004.1,JAISUX010000004.1_3,rpoE,1708.0,2307.0,-1.0
2,GB_GCA_031271805.1,JAISUX010000004.1,JAISUX010000004.1_13,nifN,11637.0,13058.0,1.0
3,GB_GCA_031271805.1,JAISUX010000004.1,JAISUX010000004.1_17,nifA,16003.0,17568.0,1.0
4,GB_GCA_031271805.1,JAISUX010000004.1,JAISUX010000004.1_18,sat3,17555.0,18034.0,1.0
5,GB_GCA_031271805.1,JAISUX010000004.1,JAISUX010000004.1_7,nifH,5608.0,6432.0,1.0
6,GB_GCA_031271805.1,JAISUX010000004.1,JAISUX010000004.1_11,nifD,8900.0,10282.0,1.0
7,GB_GCA_031271805.1,JAISUX010000004.1,JAISUX010000004.1_10,nifD,7218.0,8858.0,1.0
8,GB_GCA_031271805.1,JAISUX010000004.1,JAISUX010000004.1_12,nifE,10287.0,11633.0,1.0
9,GB_GCA_031271805.1,JAISUX010000004.1,JAISUX010000004.1_4,nhaC,2378.0,3865.0,1.0
10,GB_GCA_031271805.1,JAISUX010000004.1,JAISUX010000004.1_14,nifB,13070.0,14383.0,1.0
0,GB_GCA_902810705.1,CADDYU010000065.1,CADDYU010000065.1_21,CLPX,16525.0,17787.0,1.0
1,GB_GCA_902810705.1,CADDYU010000065.1,CADDYU010000065.1_8,cfbC,5073.0,5954.0,1.0
2,GB_GCA_902810705.1,CADDYU010000065.1,CADDYU010000065.1_20,apaG,16051.0,16431.0,1.0
3,GB_GCA_902810705.1,CADDYU010000065.1,CADDYU010000065.1_11,dmmB,9262.0,9627.0,1.0
4,GB_GCA_902810705.1,CADDYU010000065.1,CADDYU010000065.1_19,ygfZ,14893.0,15981.0,1.0
5,GB_GCA_902810705.1,CADDYU010000065.1,CADDYU010000065.1_10,nifK,7621.0,9180.0,1.0
6,GB_GCA_902810705.1,CADDYU010000065.1,CADDYU010000065.1_13,nifN,11339.0,12712.0,1.0
7,GB_GCA_902810705.1,CADDYU010000065.1,CADDYU010000065.1_22,wbbL,17772.0,18539.0,-1.0
8,GB_GCA_902810705.1,CADDYU010000065.1,CADDYU010000065.1_9,nifD,6059.0,7519.0,1.0
9,GB_GCA_902810705.1,CADDYU010000065.1,CADDYU010000065.1_12,nifE,9641.0,11329.0,1.0
10,GB_GCA_902810705.1,CADDYU010000065.1,CADDYU010000065.1_7,hnr,4130.0,4555.0,-1.0
11,GB_GCA_902810705.1,CADDYU010000065.1,CADDYU010000065.1_6,kdsC,3699.0,4130.0,-1.0
12,GB_GCA_902810705.1,CADDYU010000065.1,CADDYU010000065.1_23,mnmH,18623.0,19021.0,-1.0
13,GB_GCA_902810705.1,CADDYU010000065.1,CADDYU010000065.1_17,fwdH,13953.0,14261.0,1.0
0,GB_GCA_001443525.1,LKPX01000006.1,LKPX01000006.1_61,couN3,63558.0,64940.0,-1.0
1,GB_GCA_001443525.1,LKPX01000006.1,LKPX01000006.1_70,nifA,71539.0,73191.0,-1.0
